QTL	chr	Trait	MrkL	MrkR
Growth1	1	GR56-70	LEI0079 	LEI134 
Growth2	2	BW56	MCW063 	MCW130 
Growth3	2	BW70	LEI147 	MCW245
Growth4	3	BW28	MCW222	MCW224
Growth5	3	BW42	MCW224	LEI065
Growth5	3	BW56	MCW224	LEI065
Growth6	4	GR42-56	ADL317	MCW251
Growth6	4	BW56	ADL317	MCW251
Growth6	4	GR56-70	ADL317	MCW251
Growth6	4	BW70	ADL317	MCW251
Growth6	4	GR28-42	ADL317	MCW251
Growth6	4	BW42	ADL317	MCW251
Growth7	4	GR28-42	LEI125	LEI076
Growth7	4	BW42	LEI125	LEI076
Growth7	4	BW70	LEI125	LEI076
Growth7	4	BW56	LEI125	LEI076
Growth7	4	BW28	LEI125	LEI076
Growth8	5	BW70	MCW038	MCW029 
Growth9	7	GR42-56	ADL169	MCW120
Growth9	7	BW56	ADL169	MCW120
Growth9	7	BW42	ADL169	MCW120
Growth9	7	GR28-42	ADL169	MCW120
Growth9	7	GR56-70	ADL169	MCW120
Growth9	7	BW70	ADL169	MCW120
Growth10	13	BW42	ROS0325	ADL225
Growth10	13	BW70	ROS0325	ADL225
Growth10	13	GR56-70	ROS0325	ADL225
Growth11	20	BW70	MCW119	ADL125
Growth12	20	GR0-14	ADL125	BMP7
Growth12	20	BW14	ADL125	BMP7
Growth13	28	BW14	MCW227	MCW227
