"","QTL","chr","Trait","MrkL","MrkR"
"1","Growth1",1,"GR56-70","LEI0079","LEI134"
"2","Growth2",2,"BW56","MCW063","MCW130"
"3","Growth3",2,"BW70","LEI147","MCW245"
"4","Growth4",3,"BW28","MCW222","MCW224"
"5","Growth5",3,"BW42","MCW224","LEI065"
"6","Growth5",3,"BW56","MCW224","LEI065"
"7","Growth6",4,"GR42-56","ADL317","MCW251"
"8","Growth6",4,"BW56","ADL317","MCW251"
"9","Growth6",4,"GR56-70","ADL317","MCW251"
"10","Growth6",4,"BW70","ADL317","MCW251"
"11","Growth6",4,"GR28-42","ADL317","MCW251"
"12","Growth6",4,"BW42","ADL317","MCW251"
"13","Growth7",4,"GR28-42","LEI125","LEI076"
"14","Growth7",4,"BW42","LEI125","LEI076"
"15","Growth7",4,"BW70","LEI125","LEI076"
"16","Growth7",4,"BW56","LEI125","LEI076"
"17","Growth7",4,"BW28","LEI125","LEI076"
"18","Growth8",5,"BW70","MCW038","MCW029"
"19","Growth9",7,"GR42-56","MCW120","ADL169"
"20","Growth9",7,"BW56","MCW120","ADL169"
"21","Growth9",7,"BW42","MCW120","ADL169"
"22","Growth9",7,"GR28-42","MCW120","ADL169"
"23","Growth9",7,"GR56-70","MCW120","ADL169"
"24","Growth9",7,"BW70","MCW120","ADL169"
"25","Growth10",13,"BW42","ROS0325","ADL225"
"26","Growth10",13,"BW70","ROS0325","ADL225"
"27","Growth10",13,"GR56-70","ROS0325","ADL225"
"28","Growth11",20,"BW70","MCW119","ADL125"
"29","Growth12",20,"GR0-14","ADL125","BMP7"
"30","Growth12",20,"BW14","ADL125","BMP7"
"31","Growth13",28,"BW14","MCW227","MCW227"
