,Unnamed: 0,QTL,chr,Trait,MrkL,MrkR,lmark,rmark,lpos,rpos
0,1,Growth1,1,GR56-70,LEI0079,LEI134,LEI0079,LEI0134,150.1,183.4
1,2,Growth2,2,BW56,MCW063,MCW130,MCW0063,NA,38.2,NA
2,3,Growth3,2,BW70,LEI147,MCW245,LEI0147,MCW0245,97.0,123.4
3,4,Growth4,3,BW28,MCW222,MCW224,MCW0222,MCW0224,22.0,74.9
4,5,Growth5,3,BW42,MCW224,LEI065,MCW0224,LEI0065,74.9,98.9
5,6,Growth5,3,BW56,MCW224,LEI065,MCW0224,LEI0065,74.9,98.9
6,7,Growth6,4,GR42-56,ADL317,MCW251,ADL0317,MCW0251,3.5,
7,8,Growth6,4,BW56,ADL317,MCW251,ADL0317,MCW0251,3.5,
8,9,Growth6,4,GR56-70,ADL317,MCW251,ADL0317,MCW0251,3.5,
9,10,Growth6,4,BW70,ADL317,MCW251,ADL0317,MCW0251,3.5,
10,11,Growth6,4,GR28-42,ADL317,MCW251,ADL0317,MCW0251,3.5,
11,12,Growth6,4,BW42,ADL317,MCW251,ADL0317,MCW0251,3.5,
12,13,Growth7,4,GR28-42,LEI125,LEI076,LEI0125,LEI0076,42.4,59.6
13,14,Growth7,4,BW42,LEI125,LEI076,LEI0125,LEI0076,42.4,59.6
14,15,Growth7,4,BW70,LEI125,LEI076,LEI0125,LEI0076,42.4,59.6
15,16,Growth7,4,BW56,LEI125,LEI076,LEI0125,LEI0076,42.4,59.6
16,17,Growth7,4,BW28,LEI125,LEI076,LEI0125,LEI0076,42.4,59.6
17,18,Growth8,5,BW70,MCW038,MCW029,MCW0038,MCW0029,18.4,39.4
18,19,Growth9,7,GR42-56,MCW120,ADL169,MCW0120,ADL0169,9.9,35.1
19,20,Growth9,7,BW56,MCW120,ADL169,MCW0120,ADL0169,9.9,35.1
20,21,Growth9,7,BW42,MCW120,ADL169,MCW0120,ADL0169,9.9,35.1
21,22,Growth9,7,GR28-42,MCW120,ADL169,MCW0120,ADL0169,9.9,35.1
22,23,Growth9,7,GR56-70,MCW120,ADL169,MCW0120,ADL0169,9.9,35.1
23,24,Growth9,7,BW70,MCW120,ADL169,MCW0120,ADL0169,9.9,35.1
24,25,Growth10,13,BW42,ROS0325,ADL225,ROS00325,ADL0225,9.4,
25,26,Growth10,13,BW70,ROS0325,ADL225,ROS00325,ADL0225,9.4,
26,27,Growth10,13,GR56-70,ROS0325,ADL225,ROS00325,ADL0225,9.4,
27,28,Growth11,20,BW70,MCW119,ADL125,MCW0119,ADL0125,0.5,3.4
28,29,Growth12,20,GR0-14,ADL125,BMP7,ADL0125,NA,3.4,NA
29,30,Growth12,20,BW14,ADL125,BMP7,ADL0125,NA,3.4,NA
30,31,Growth13,28,BW14,MCW227,MCW227,MCW0227,MCW0227,,
