"","df","Type III SS","LOD","%var","F value","Pvalue(Chi2)","Pvalue(F)"
"1@84.2",2,590502.454907614,4.85876451615204,0.546942901161398,11.0495054433487,1.3843167819716e-05,1.65466503134759e-05
"1@164.2",2,288683.46392057,2.37976177915306,0.267388170805727,5.4018564689864,0.00417098108961522,0.00455181191632159
"1@401.7",2,529182.419521293,4.35585479616316,0.490146256583923,9.90208250013076,4.40702185092734e-05,5.17131207735666e-05
"2@216.0",2,171801.618984794,1.41726867275844,0.159128340840631,3.21475873363736,0.0382587985136477,0.0403023290347242
"2@327.2",2,202668.859467339,1.67158770390341,0.187718599729582,3.79234776633071,0.0213016034737989,0.0226499013155455
"3@141.7",2,144347.599698716,1.19099012462161,0.13369952029624,2.70103803184849,0.0644183913381631,0.0672977595791087
"4@49.5",2,582809.681789072,4.79569384728555,0.539817600305383,10.9055579665155,1.60068602287344e-05,1.90886438504734e-05
"6@0.0",2,165972.207981479,1.36922854806102,0.153728947595578,3.10567856288239,0.0427337939796332,0.0449370184069441
"6@78.1",2,452722.264734537,3.72824359172924,0.419326332746586,8.47135703998399,0.0001869633186381,0.000214389980001894
"7@50.2",2,1475129.47011936,12.0720771044378,1.36631369653152,27.602681367816,8.47100167788994e-13,1.319500064767e-12
"8@21.7",2,90754.2305145306,0.749047436948274,0.0840595694696198,1.69819677419305,0.178218409310739,0.183187726112334
"8@91.2",2,219270.696745247,1.80833223039045,0.203095770425357,4.10300200637191,0.0155477579057561,0.0166150718741818
"9@0.7",2,444011.990930443,3.6567092062532,0.41125858910771,8.30837004981728,0.000220440198664296,0.000252114735471598
"10@20.5",2,222469.560949611,1.83467712903348,0.206058664235222,4.16285928070647,0.0146326461652011,0.0156522726291206
"12@7.5",2,451196.934661692,3.71571715138631,0.417913521591718,8.44281500293946,0.000192434461381064,0.000220562251235901
"13@4.3",2,350210.828683853,2.8858672214341,0.324376850708354,6.55315896775965,0.00130056714478122,0.00144593538058391
"14@22.9",2,246807.900560722,2.03508643495277,0.228601639231719,4.61827926038655,0.00922387831722937,0.00993948060103533
"16@9.0",2,410721.764514105,3.38323771447799,0.380424080520747,7.68544200787519,0.000413773130868877,0.000468499496354635
"21@3.1",2,364714.026684088,3.00511024540654,0.33781019230489,6.82454338609312,0.000988302182865941,0.00110358866209648
"23@0.0",2,192291.397958355,1.58609732358474,0.178106651705924,3.59816429346155,0.0259359808246105,0.0274911889075569
"27@0.0",2,234189.624423988,1.93119121702475,0.21691417459796,4.38216557499934,0.0117167936918553,0.0125777299157519
"29@0.0",2,146800.825785204,1.21121296150588,0.135971779423695,2.74694289603842,0.0614875287304144,0.0642836057965599
"29@0.0",2,146800.825703754,1.21121296083444,0.135971779348253,2.74694289451432,0.0614875288254763,0.0642836058943562
"SEX",1,14997884.8907651,113.611173966812,13.8915369534291,561.282038243699,0,0
"GENERATION",1,700879.779576738,5.76305830560187,0.649178029356435,26.2297806730637,2.58155593457765e-07,3.22114998119183e-07
