 est SE t
Intercept -2.517e-03 1.865e-04 -13.499
pull.pheno.test2..pheno.col...6. 5.062e-03 2.218e-04 22.821
1@103.3a 7.273e-04 1.465e-04 4.965
1@103.3d 3.463e-04 2.098e-04 1.651
1@210.3a -7.131e-04 1.478e-04 -4.824
1@210.3d 1.836e-04 2.148e-04 0.855
1@407.5a 9.102e-04 1.490e-04 6.110
1@407.5d -9.630e-05 2.216e-04 -0.435
2@99.8a -3.674e-05 1.431e-04 -0.257
2@99.8d 6.642e-04 2.093e-04 3.173
3@55.3a 4.421e-04 1.505e-04 2.937
3@55.3d -6.331e-04 2.144e-04 -2.953
3@129.8a 6.731e-04 1.464e-04 4.597
3@129.8d -2.302e-04 2.090e-04 -1.102
4@53.5a 1.801e-04 1.631e-04 1.104
4@53.5d 2.651e-04 2.238e-04 1.184
4@102.8a 7.546e-04 1.568e-04 4.814
4@102.8d -4.054e-04 2.174e-04 -1.865
4@187.9a 3.649e-04 1.402e-04 2.603
4@187.9d -3.758e-04 2.148e-04 -1.749
5@0.0a 6.369e-05 1.289e-04 0.494
5@0.0d -6.164e-04 2.647e-04 -2.329
5@76.4a 3.234e-04 1.207e-04 2.679
5@76.4d 1.047e-04 2.703e-04 0.387
6@78.7a 4.149e-04 1.497e-04 2.771
6@78.7d -8.496e-05 2.155e-04 -0.394
7@0.0a -1.226e-04 1.582e-04 -0.775
7@0.0d 5.108e-04 2.209e-04 2.313
7@50.2a 1.009e-03 1.488e-04 6.779
7@50.2d 3.212e-04 2.132e-04 1.506
11@17.0a 4.293e-04 1.531e-04 2.805
11@17.0d 1.324e-04 2.294e-04 0.577
13@4.3a 4.029e-04 1.442e-04 2.794
13@4.3d 3.561e-04 2.099e-04 1.696
14@22.9a 4.926e-04 1.455e-04 3.385
14@22.9d 2.113e-04 2.204e-04 0.959
15@14.3a 4.474e-04 1.521e-04 2.943
15@14.3d -2.187e-04 2.191e-04 -0.998
27@0.0a 3.397e-04 1.877e-04 1.810
27@0.0d 5.107e-04 2.741e-04 1.863
