               est       SE      t
Intercept   4.4717   3.4846  1.283
1@103.3a   14.5739   4.2128  3.459
1@103.3d    4.4030   6.0762  0.725
1@210.3a  -17.9182   4.2944 -4.172
1@210.3d    6.7007   6.2182  1.078
1@407.5a   25.1301   4.3086  5.833
1@407.5d    0.1012   6.3761  0.016
2@99.8a    -1.1061   4.1042 -0.270
2@99.8d     9.2120   6.0628  1.519
3@55.3a    14.2665   4.3192  3.303
3@55.3d   -11.0336   6.1851 -1.784
3@129.8a   12.8600   4.3101  2.984
3@129.8d   -4.6204   6.0710 -0.761
4@53.5a     7.9976   4.7495  1.684
4@53.5d     3.2659   6.4526  0.506
4@102.8a   23.3064   4.6468  5.016
4@102.8d  -14.3887   6.3535 -2.265
4@187.9a    8.7940   4.0732  2.159
4@187.9d  -13.6500   6.2321 -2.190
5@0.0a     -4.5788   3.7497 -1.221
5@0.0d     -5.8433   7.4260 -0.787
5@76.4a     3.4494   3.5238  0.979
5@76.4d     9.1698   7.2968  1.257
6@78.7a    10.7150   4.3236  2.478
6@78.7d    -3.7599   6.2155 -0.605
7@0.0a     -6.0398   4.5330 -1.332
7@0.0d     17.1231   6.3937  2.678
7@50.2a    26.5799   4.3043  6.175
7@50.2d     2.8118   6.1696  0.456
11@17.0a   15.6533   4.4718  3.500
11@17.0d   -3.8970   6.6065 -0.590
13@4.3a     8.3238   4.1755  1.993
13@4.3d     9.6799   6.1210  1.581
14@22.9a    7.4945   4.2258  1.774
14@22.9d    4.3118   6.3900  0.675
15@14.3a    5.2149   4.4607  1.169
15@14.3d   -9.5430   6.3789 -1.496
27@0.0a     3.3278   5.3212  0.625
27@0.0d     8.4186   7.8004  1.079
