chromosome,informative_markers_per_Mb
1,103.06080771962775
9,88.97128616318128
10,74.94179578863726
12,83.47440263352063
11,162.99912097735398
13,85.92992357848979
14,123.1030989272944
15,113.49807671470366
18,42.59783472387763
17,123.50273594105536
2,117.78830154946365
19,99.74423207900561
27,38.22901413247063
33,22.202920143027413
21,105.35292865656393
W,126.02230546569045
31,94.94338498212157
23,79.76979870215865
26,86.98818037346047
3,64.6196941876322
25,11.497360803677848
NW_020110167.1,76.24634982121573
4,149.3635927864435
Z,105.85462355979341
5,171.574831685082
7,96.64226234577843
6,54.59492867853435
8,41.34135876042908
