suggestive_loc,average_a
1-56,0.0062047569803516025
1-171,0.007980569049271339
2-99,-0.0273972602739726
2-113,-0.02934388394329047
3-35,-0.010968921389396709
3-74,-0.141211323238973
4-11,-0.11804767309875142
4-23,-0.09346701164294954
4-36,-0.1463258785942492
4-70,-0.024752475247524754
Z-1,-0.25752066115702477
Z-10,-0.23253234750462107
Z-34,-0.15558510638297873
5-30,-0.08986686390532544
7-4,-0.2565698478561549
7-21,-0.019662921348314606
8-4,0.10217065868263472
10-9,-0.029057406094968107
10-21,-0.10599571734475374
11-7,0.0013253810470510272
13-12,-0.03693079956973826
14-6,0.06444605358435916
14-16,0.0035087719298245615
20-11,0.24391092553931804
23-6,-0.22425127830533237
