chr	pos	scoreA	scoreB
chr1	169.635	389.3841	33.63861
chr1	171.9186	389.3843	41.28209
chr1	172.0465	654.5906	55.76953
chr1	173.7096	938.413	77.6569
chr1	174.0931	835.1651	57.44971
chr1	174.2958	833.5998	54.53585
chr1	174.8463	546.1155	35.96763
chr1	174.9957	219.1292	15.19883
chr1	175.2174	209.5495	16.67117
chr1	175.2697	260.7512	24.19197
chr1	175.5113	245.1198	19.54836
chr1	175.8269	210.1618	15.85687
chr1	176.241	176.7283	12.99461
chr1	177.0433	176.4745	8.615088
chr1	177.4356	145.5484	8.456973
chr1	177.7441	116.4618	8.028135
chr1	178.1636	91.95128	7.376214
chr1	178.3842	92.22606	5.012107
chr1	178.5272	85.89407	3.010527
chr1	178.77	88.96214	2.420598
chr1	179.3832	77.7991	2.092776
chr1	179.5874	115.9268	11.84901
chr1	179.7452	131.0118	11.28714
chr1	180.1831	129.0059	9.334081
chr1	180.5549	123.7238	7.146296
chr1	180.7167	131.1354	9.588377
chr1	180.9438	123.3433	8.33271
chr2-1	47.92968	151.3203	0.973851
chr2-1	48.07153	135.7419	1.011937
chr2-1	48.27728	111.2984	0.6840086
chr2-1	48.67858	97.4922	0.6059767
chr2-1	50.22863	94.99853	0.629674
chr2-1	50.40038	86.24935	0.5393257
chr2-1	51.00965	84.89161	0.4856006
chr2-1	51.42525	83.62864	0.4642724
chr2-1	51.63883	81.45773	0.4362622
chr2-1	52.05383	78.45057	0.4011718
chr2-1	53.80778	74.6763	0.3595117
chr2-1	54.02298	70.20496	0.3122981
chr2-1	55.33063	65.19004	0.2632387
chr2-1	55.89318	58.24564	0.2705005
chr2-1	55.89949	57.75136	0.2249661
chr2-1	56.09919	55.28458	0.2745787
chr2-1	56.52576	48.31604	0.09184899
chr2-1	56.72051	54.14716	0.05227957
chr2-1	56.88696	57.43317	0.04775283
chr2-1	57.2802	57.65488	0.3418273
chr2-1	57.73343	67.98479	0.1199102
chr2-1	58.01232	74.04814	0.1351917
chr2-1	58.09263	70.76493	0.2151386
chr2-1	58.31842	72.36476	0.2048173
chr2-1	58.55509	77.12757	0.1928735
chr2-1	58.8034	80.14264	0.2236395
chr2-1	59.2798	84.59742	0.2327904
chr2-1	60.08593	180.9262	0.2726974
chr2-1	60.49836	197.3497	0.332019
chr2-1	60.58619	206.9791	0.465656
chr2-1	60.71007	195.9599	0.4804579
chr2-1	61.20657	195.704	0.7032362
chr2-1	61.27371	184.9145	0.8192904
chr2-1	61.68536	142.7046	0.6664067
chr2-1	62.80969	113.2089	14.68369
chr2-1	63.395	108.522	14.83394
chr2-1	63.66102	113.4118	29.99679
chr2-1	63.69167	116.255	44.21169
chr2-1	64.0989	113.4529	42.33519
chr2-1	64.34874	116.5733	55.38218
chr2-1	64.3803	121.5418	53.7767
chr2-1	64.38984	124.0332	50.41735
chr2-1	65.15668	123.8329	45.56093
chr2-1	65.4341	120.9761	39.66241
chr2-2	124.3332	85.41691	1.77721
chr2-2	124.991	75.08429	1.845534
chr2-2	125.1731	73.4632	1.602155
chr2-2	125.6049	75.85016	1.540972
chr2-2	126.0003	69.29409	1.535974
chr2-2	127.5572	61.18063	2.551221
chr2-2	128.5776	70.53915	2.533472
chr2-2	128.9766	77.47696	2.612577
