"","chr","pos","lod"
"1-0","1",0,0.0830992390183383
"1-1","1",1.00000002822922e-07,0.083099238894647
"1-2","1",2.00000005645844e-07,0.0830992389564926
"1-3","1",3.00000008468766e-07,0.0830992390165193
"1-4","1",0.63091088219995,0.0753670546109788
"1-5","1",0.95816555866853,0.0736433546207991
"1-6","1",0.958165658668532,0.0736433603942714
"1-7","1",3.08908077014116,0.134799651661524
"1-8","1",4.95475300440512,0.191089934236516
"1-9","1",5.1832008071219,0.18040935793033
"1-10","1",5.29149949999816,0.181953961715408
"1-11","1",5.3438510042452,0.180664425144641
"1-12","1",6.96470378363615,0.137785420638465
"1-13","1",8.98701617030421,0.0994959156269033
"1-14","1",9.87542098284789,0.147051053347241
"1-15","1",15.1765815664765,0.158379659525963
"1-16","1",21.455639505483,0.0456686605921277
"1-17","1",22.0748456291395,0.0855279616644111
"1-18","1",22.0748491831377,0.0855276246984431
"1-19","1",22.1071495838843,0.083216231145343
"1-20","1",22.618574507536,0.101080778291362
"1-21","1",23.1415619155664,0.124395070319224
"1-22","1",25.0137590622656,0.117002373637661
"1-23","1",32.1742735275553,0.297681220201412
"1-24","1",44.5278384526093,1.08409750936698
"1-25","1",44.5278385526093,1.08409749524617
"1-26","1",44.5435374033531,1.08010750022368
"1-27","1",44.6382954750754,1.03686960263803
"1-28","1",45.440804754233,0.883138068102198
"1-29","1",46.3064293517806,0.691372083256283
"1-30","1",47.2029288062862,0.929554896829359
"1-31","1",52.4012070130832,1.40256011665042
"1-32","1",53.7956892742705,1.59391577138194
"1-33","1",53.7956893742705,1.59391576306007
"1-34","1",54.9833405724997,1.74979784147399
"1-35","1",58.2364140897801,2.44450492620126
"1-36","1",59.0825865182626,2.44702116439657
"1-37","1",59.4605592321351,2.49199518989917
"1-38","1",60.753358306524,2.6916139087898
"1-39","1",61.9951402604963,2.82492142762931
"1-40","1",62.2849006464447,2.76290747757412
"1-41","1",62.6228091594927,2.63001875547707
"1-42","1",62.7591242419905,2.66618259420284
"1-43","1",63.1480700628278,2.6348989622511
"1-44","1",63.9900036917698,2.629624149542
"1-45","1",64.4580940380055,2.53666648504077
"1-46","1",69.2738582757444,4.8661838954813
"1-47","1",76.8199810503081,6.82966176905211
"1-48","1",80.8668267406075,8.33869590771064
"1-49","1",81.583015058808,8.57692836060596
"1-50","1",84.236007682282,8.88915400638689
"1-51","1",84.592868387488,8.82895090750026
"1-52","1",91.790054752041,8.54579106176971
"1-53","1",95.2146055162925,7.4817814635262
"1-54","1",100.26799228292,8.07414565165163
"1-55","1",100.735486210261,8.04912303645506
"1-56","1",103.31574298222,7.36357937984576
"1-57","1",109.721886054659,4.39648433247748
"1-58","1",112.277940151775,2.63392123203266
"1-59","1",113.671603783268,1.97536722053155
"1-60","1",124.383726697966,0.170172631367677
"1-61","1",126.042217523063,0.087927347067307
"1-62","1",126.334380728611,0.0854345593324979
"1-63","1",127.236875704134,0.0429432644323242
"1-64","1",127.710531700423,0.0449206930661603
"1-65","1",128.466572676775,0.038627895182799
"1-66","1",132.72654101607,0.0614347486261977
"1-67","1",135.535769112517,0.203913614470366
"1-68","1",135.839226024482,0.212431079693488
"1-69","1",138.826075264339,0.561644164896279
"1-70","1",139.702512851049,0.743076745970029
"1-71","1",141.434815923914,0.757483667477572
"1-72","1",152.717213768306,1.04487082352716
"1-73","1",155.511149327558,1.9058046947539
"1-74","1",155.641538089518,1.94007025652536
"1-75","1",155.641538189518,1.94007023410813
"1-76","1",159.89645043758,2.75951897657615
"1-77","1",159.89645053758,2.75951901369262
"1-78","1",160.476973242501,2.85839966110325
"1-79","1",164.242251352082,3.29870707177361
"1-80","1",164.611153622583,2.79322466330996
"1-81","1",168.520975698303,1.33924727615886
"1-82","1",169.949186282196,1.03696055008368
"1-83","1",175.943071009852,0.409412394155879
"1-84","1",181.291939545951,0.137236723567185
"1-85","1",185.934838221133,0.0269788862278801
"1-86","1",191.738942148555,0.0250786009401054
"1-87","1",192.111503823331,0.0155090754105913
"1-88","1",193.441932234661,0.041469360314295
"1-89","1",194.320874335668,0.080415949347298
"1-90","1",201.464820504669,0.678318105541621
"1-91","1",201.58502212761,0.700754181598313
"1-92","1",203.217987999019,1.41852843428751
"1-93","1",210.329573744811,2.15631254694745
"1-94","1",216.76113093841,2.13531616834371
"1-95","1",216.76113103841,2.13531614861495
"1-96","1",216.92555274618,2.02211935294508
"1-97","1",217.154035437729,1.96619702400312
"1-98","1",217.865648117151,1.7791366028614
"1-99","1",217.918342773279,1.76916323227488
"1-100","1",219.251765647124,1.37148891295874
"1-101","1",220.707477767305,1.14310692909203
"1-102","1",221.15645433834,1.28290343663139
"1-103","1",222.586867969481,1.45071178885519
"1-104","1",222.586868069481,1.45071181397907
"1-105","1",224.647656497255,1.98830622140667
"1-106","1",226.550039439405,2.10052506227657
"1-107","1",229.217704736413,2.08965603684555
"1-108","1",231.140248443402,2.28439958995841
"1-109","1",231.140248543402,2.28439960036667
"1-110","1",234.71837066216,1.50073538572542
"1-111","1",242.856006180598,0.292033288937091
"1-112","1",250.701184918887,0.178986396036635
"1-113","1",250.745785013225,0.188074988389417
"1-114","1",254.557931310617,0.496368019454167
"1-115","1",259.649536418309,0.745513023308376
"1-116","1",260.181778079498,0.79373951764137
"1-117","1",260.754969801831,0.734573610223379
"1-118","1",267.601399059721,0.23977613124589
"1-119","1",267.601399159721,0.239776127767982
"1-120","1",268.500640525381,0.262598749704921
"1-121","1",270.135781695719,0.467816733087602
"1-122","1",271.916509176355,0.682197984060622
"1-123","1",273.437284910679,0.786140052743576
"1-124","1",278.136995696967,0.721766151164047
"1-125","1",282.268879051197,0.379652762310798
"1-126","1",288.650970960522,0.108977652191243
"1-127","1",296.208600837785,0.184613707637254
"1-128","1",296.208600937785,0.184613704190269
"1-129","1",296.280626993565,0.209010837481401
"1-130","1",296.638326234875,0.217612372949588
"1-131","1",300.446291597437,0.240055012072844
"1-132","1",305.872941474524,0.543790662277388
"1-133","1",306.871595274067,0.663127047406306
"1-134","1",313.858723416356,1.04793487450661
"1-135","1",318.362924532865,1.02926265104361
"1-136","1",329.192404705153,1.52994061786194
"1-137","1",329.326227176687,1.53886051049085
"1-138","1",330.294343399659,1.76467498003694
"1-139","1",334.322333999469,1.22519189857667
"1-140","1",339.885604855318,0.652826764413476
"1-141","1",344.532178020034,0.267756941380867
"1-142","1",345.129514340631,0.202230297783899
"1-143","1",345.129514440631,0.202230280327058
"1-144","1",345.324439845323,0.184149708582481
"1-145","1",347.229885969739,0.103014881853596
"1-146","1",350.401351671441,0.0277676744408382
"1-147","1",369.700357669775,1.33437424976364
"1-148","1",371.072724637205,1.67115932613524
"1-149","1",371.159440766748,1.74160434887926
"1-150","1",371.375036623137,1.77691953517569
"1-151","1",371.431540043249,1.82236351402571
"1-152","1",371.716335772876,1.97136635846982
"1-153","1",371.866867920213,2.02433135259344
"1-154","1",374.395629459417,2.3993458203131
"1-155","1",380.215588460527,2.47135501112825
"1-156","1",388.71391725336,4.2413211974017
"1-157","1",391.798191523426,4.64520353349872
"1-158","1",392.545170451276,4.69730441552565
"1-159","1",393.182895523757,4.7411564191425
"1-160","1",393.359206676719,4.83285443932255
"1-161","1",393.734862380577,4.74667035806306
"1-162","1",393.901008040166,4.71688069032825
"1-163","1",394.212568502746,4.61724873472849
"1-164","1",394.732740896094,4.93151505205606
"1-165","1",395.076216996728,4.93631467638261
"1-166","1",395.219795138867,4.97672065694132
"1-167","1",396.429311474476,5.1713507510849
"1-168","1",397.459173823187,5.19481155860558
"1-169","1",400.283987088671,5.77406353721926
"1-170","1",401.700994945382,5.9747248926833
"1-171","1",407.558457939333,5.65613309553191
"1-172","1",418.338777341221,4.59145809733855
"1-173","1",422.081615389492,4.52701359595449
"1-174","1",422.154918578579,4.53342679355956
"1-175","1",424.05188418303,4.48346706976554
