"","chr","pos","lod"
"1-0","1",0,0.212747342605326
"1-1","1",1.00000002822922e-07,0.212747342548028
"1-2","1",2.00000005645844e-07,0.212747342789044
"1-3","1",3.00000008468766e-07,0.212747343365663
"1-4","1",0.63091088219995,0.187188491927373
"1-5","1",0.95816555866853,0.203054481899926
"1-6","1",0.958165658668532,0.203054497763333
"1-7","1",3.08908077014116,0.208962317195073
"1-8","1",4.95475300440512,0.198674511312674
"1-9","1",5.1832008071219,0.184988784573761
"1-10","1",5.29149949999816,0.188866958488688
"1-11","1",5.3438510042452,0.177849665546091
"1-12","1",6.96470378363615,0.14523274367366
"1-13","1",8.98701617030421,0.199772163717171
"1-14","1",9.87542098284789,0.236738560827689
"1-15","1",15.1765815664765,0.196659306333459
"1-16","1",21.455639505483,0.00673043182541733
"1-17","1",22.0748456291395,0.00092813990158902
"1-18","1",22.0748491831377,0.000928363685488875
"1-19","1",22.1071495838843,0.00461240447020828
"1-20","1",22.618574507536,0.00237720460154378
"1-21","1",23.1415619155664,0.00621251893699082
"1-22","1",25.0137590622656,0.0286531867304802
"1-23","1",32.1742735275553,0.307481328674839
"1-24","1",44.5278384526093,0.257111815808457
"1-25","1",44.5278385526093,0.257111818826161
"1-26","1",44.5435374033531,0.254174016876277
"1-27","1",44.6382954750754,0.235340651602201
"1-28","1",45.440804754233,0.297220006445059
"1-29","1",46.3064293517806,0.356329617749907
"1-30","1",47.2029288062862,0.676566456869296
"1-31","1",52.4012070130832,1.52691892385246
"1-32","1",53.7956892742705,1.85239713626106
"1-33","1",53.7956893742705,1.85239711029226
"1-34","1",54.9833405724997,1.64681451278284
"1-35","1",58.2364140897801,1.82836897748166
"1-36","1",59.0825865182626,1.7734742149978
"1-37","1",59.4605592321351,1.75315790574314
"1-38","1",60.753358306524,1.56754222486143
"1-39","1",61.9951402604963,1.17429894295583
"1-40","1",62.2849006464447,1.04741236701648
"1-41","1",62.6228091594927,0.896601889610793
"1-42","1",62.7591242419905,0.885145456180908
"1-43","1",63.1480700628278,0.812463893886161
"1-44","1",63.9900036917698,0.881000845850394
"1-45","1",64.4580940380055,0.865291002774939
"1-46","1",69.2738582757444,1.70876456609949
"1-47","1",76.8199810503081,1.68956522323697
"1-48","1",80.8668267406075,2.97405122808595
"1-49","1",81.583015058808,3.30244471310652
"1-50","1",84.236007682282,3.27052938107499
"1-51","1",84.592868387488,3.17978065630359
"1-52","1",91.790054752041,2.17012233463174
"1-53","1",95.2146055162925,1.67395338974984
"1-54","1",100.26799228292,1.13232158022493
"1-55","1",100.735486210261,1.12035382742306
"1-56","1",103.31574298222,1.21148218968301
"1-57","1",109.721886054659,0.963565177509736
"1-58","1",112.277940151775,0.712389095075196
"1-59","1",113.671603783268,0.654463334234606
"1-60","1",124.383726697966,0.344599481359182
"1-61","1",126.042217523063,0.385807185311023
"1-62","1",126.334380728611,0.357431192066542
"1-63","1",127.236875704134,0.384028613559167
"1-64","1",127.710531700423,0.430481979682554
"1-65","1",128.466572676775,0.491646916635545
"1-66","1",132.72654101607,0.121044147118482
"1-67","1",135.535769112517,0.138317686692972
"1-68","1",135.839226024482,0.166733253776329
"1-69","1",138.826075264339,0.726201879793734
"1-70","1",139.702512851049,0.871397046166749
"1-71","1",141.434815923914,0.987202375005836
"1-72","1",152.717213768306,1.27251095192423
"1-73","1",155.511149327558,1.57585720111638
"1-74","1",155.641538089518,1.61511469320794
"1-75","1",155.641538189518,1.6151146578859
"1-76","1",159.89645043758,1.71686423493429
"1-77","1",159.89645053758,1.71686425131065
"1-78","1",160.476973242501,1.75844303047506
"1-79","1",164.242251352082,2.16148389032969
"1-80","1",164.611153622583,1.64318317323523
"1-81","1",168.520975698303,0.352189146246019
"1-82","1",169.949186282196,0.176963256492854
"1-83","1",175.943071009852,0.0702391976283252
"1-84","1",181.291939545951,0.0519635646842289
"1-85","1",185.934838221133,0.0399168899220967
"1-86","1",191.738942148555,0.352366137489298
"1-87","1",192.111503823331,0.382080903737915
"1-88","1",193.441932234661,0.531724856167784
"1-89","1",194.320874335668,0.622246965740487
"1-90","1",201.464820504669,0.29151688805814
"1-91","1",201.58502212761,0.305953557375688
"1-92","1",203.217987999019,0.583662952431951
"1-93","1",210.329573744811,0.19995702160395
"1-94","1",216.76113093841,0.252486730963028
"1-95","1",216.76113103841,0.252486707654498
"1-96","1",216.92555274618,0.205141791722781
"1-97","1",217.154035437729,0.193353867762198
"1-98","1",217.865648117151,0.204195713066838
"1-99","1",217.918342773279,0.202424200092537
"1-100","1",219.251765647124,0.0513322483975571
"1-101","1",220.707477767305,0.0536822749063504
"1-102","1",221.15645433834,0.00681695427283557
"1-103","1",222.586867969481,0.069822119258788
"1-104","1",222.586868069481,0.0698221144111812
"1-105","1",224.647656497255,0.130546674931793
"1-106","1",226.550039439405,0.205820660684367
"1-107","1",229.217704736413,0.343719472694829
"1-108","1",231.140248443402,0.53374753274602
"1-109","1",231.140248543402,0.533747549355212
"1-110","1",234.71837066216,0.387354449281702
"1-111","1",242.856006180598,0.174401454488361
"1-112","1",250.701184918887,0.354389908851772
"1-113","1",250.745785013225,0.324976539074669
"1-114","1",254.557931310617,0.25751415123068
"1-115","1",259.649536418309,0.348814403801043
"1-116","1",260.181778079498,0.326787210872681
"1-117","1",260.754969801831,0.286530743581352
"1-118","1",267.601399059721,0.162214571228105
"1-119","1",267.601399159721,0.162214572725134
"1-120","1",268.500640525381,0.214167133373849
"1-121","1",270.135781695719,0.431001761575317
"1-122","1",271.916509176355,0.796050671837293
"1-123","1",273.437284910679,1.11349848198279
"1-124","1",278.136995696967,1.27783616341821
"1-125","1",282.268879051197,1.03911661888742
"1-126","1",288.650970960522,1.12834351852325
"1-127","1",296.208600837785,1.07549655906951
"1-128","1",296.208600937785,1.07549654030845
"1-129","1",296.280626993565,1.08810801200434
"1-130","1",296.638326234875,0.931984386536897
"1-131","1",300.446291597437,0.926169782407669
"1-132","1",305.872941474524,0.357649810148359
"1-133","1",306.871595274067,0.2498191865634
"1-134","1",313.858723416356,0.0841458065478946
"1-135","1",318.362924532865,0.169127492191365
"1-136","1",329.192404705153,0.3933392881072
"1-137","1",329.326227176687,0.402737210453779
"1-138","1",330.294343399659,0.595199370070986
