chr_name	chr_size	chr_sizerank
NC_006088.5	197608386	1
NW_020109737.1	1765	419
NW_020109738.1	2384	398
NW_020109739.1	4675	344
NW_020109740.1	5861	323
NW_020109741.1	10869	221
NW_020109742.1	21511	103
NW_020109743.1	22289	97
NC_006089.5	149682049	2
NC_006090.5	110838418	3
NW_020109744.1	509	457
NW_020109745.1	1783	417
NW_020109746.1	6272	316
NW_020109747.1	7246	291
NC_006091.5	91315245	4
NC_006092.5	59809098	6
NC_006093.5	36374701	8
NW_020109748.1	4087	358
NW_020109749.1	4448	350
NW_020109750.1	5224	334
NW_020109751.1	10724	223
NW_020109752.1	10928	219
NW_020109753.1	18845	121
NC_006094.5	36742308	7
NC_006095.5	30219446	9
NC_006096.5	24153086	10
NW_020109754.1	27963	67
NC_006097.5	21119840	11
NC_006098.5	20200042	13
NC_006099.5	20387278	12
NC_006100.5	19166714	14
NW_020109755.1	2157	403
NC_006101.5	16219308	15
NW_020109756.1	765	448
NC_006102.5	13062184	17
NW_020109757.1	2034	408
NC_006103.5	2844601	32
NW_020109758.1	149503	45
NC_006104.5	10762512	19
NC_006105.5	11373140	18
NC_006106.5	10323212	20
NW_020109759.1	1131	438
NC_006107.5	13897287	16
NC_006108.5	6844979	23
NC_006109.5	5459462	29
NW_020109760.1	918	444
NC_006110.5	6149580	27
NW_020109761.1	322	460
NW_020109762.1	1264	435
NW_020109763.1	1662	424
NW_020109764.1	15003	161
NW_020109765.1	16157	142
NW_020109766.1	18922	120
NC_006111.5	6491222	25
NC_006112.4	3980610	31
NW_020109767.1	1884	413
NC_006113.5	6055710	28
NC_006114.5	8080432	21
NC_006115.5	5116882	30
NW_020109768.1	1519	430
NC_028739.2	1818525	36
NC_028740.2	6153034	26
NW_020109769.1	9481	245
NW_020109770.1	11305	211
NW_020109771.1	11340	210
NC_006119.4	725831	39
NC_008465.4	7821666	22
NW_020109772.1	182	463
NC_006126.5	6813114	24
NW_020109775.1	1568	428
NW_020109776.1	2003	410
NW_020109777.1	2092	405
NW_020109778.1	3094	376
NW_020109779.1	5587	329
NW_020109780.1	6668	306
NW_020109781.1	6830	299
NW_020109782.1	6929	295
NW_020109783.1	7074	293
NW_020109784.1	7765	283
NW_020109785.1	7878	282
NW_020109786.1	8166	274
NW_020109787.1	8267	269
NW_020109788.1	8275	268
NW_020109789.1	8559	264
NW_020109790.1	8909	256
NW_020109791.1	9034	251
NW_020109792.1	9182	248
NW_020109793.1	9607	242
NW_020109794.1	10106	231
NW_020109795.1	10162	230
NW_020109796.1	10224	229
NW_020109797.1	10371	227
NW_020109798.1	10551	225
NW_020109799.1	10871	220
NW_020109800.1	11068	215
NW_020109801.1	12127	200
NW_020109802.1	12728	192
NW_020109803.1	13691	180
NW_020109804.1	13829	177
NW_020109805.1	14047	174
NW_020109806.1	14330	169
NW_020109807.1	14810	162
NW_020109808.1	15438	154
NW_020109809.1	16043	146
NW_020109810.1	16320	139
NW_020109811.1	17217	134
NW_020109812.1	17224	133
NW_020109813.1	17321	131
NW_020109814.1	17442	129
NW_020109815.1	18028	128
NW_020109816.1	19032	118
NW_020109817.1	19204	116
NW_020109818.1	19471	115
NW_020109819.1	19721	113
NW_020109820.1	19850	112
NW_020109821.1	19928	110
NW_020109822.1	22964	92
NW_020109823.1	23209	89
NW_020109824.1	24105	85
NW_020109825.1	27808	69
NW_020109826.1	28212	66
NC_006127.5	82529921	5
NW_020109829.1	15587	152
NW_020109830.1	27104	71
NW_020109831.1	27130	70
NW_020109832.1	27830	68
NW_020109833.1	28243	65
NW_020109834.1	29697	64
NW_020109835.1	30157	63
NW_020109836.1	30225	62
NW_020109837.1	30439	61
NW_020109838.1	30818	60
NW_020109839.1	33030	59
NW_020109840.1	33083	58
NW_020109841.1	33731	56
NW_020109842.1	33531	57
NW_020109843.1	33802	55
NW_020109844.1	87	464
NW_020109845.1	246	461
NW_020109846.1	195	462
NW_020109847.1	345	458
NW_020109848.1	342	459
NW_020109849.1	579	455
NW_020109850.1	555	456
NW_020109851.1	623	453
NW_020109852.1	597	454
NW_020109853.1	676	451
NW_020109854.1	644	452
NW_020109855.1	678	449
NW_020109856.1	677	450
NW_020109857.1	806	446
NW_020109858.1	791	447
NW_020109859.1	950	443
NW_020109860.1	848	445
NW_020109861.1	966	441
NW_020109862.1	955	442
NW_020109863.1	1115	439
NW_020109864.1	1086	440
NW_020109865.1	1173	436
NW_020109866.1	1167	437
NW_020109867.1	1381	433
NW_020109868.1	1367	434
NW_020109869.1	1453	431
NW_020109870.1	1394	432
NW_020109871.1	1579	427
NW_020109872.1	1547	429
NW_020109873.1	1643	425
NW_020109874.1	1589	426
NW_020109875.1	1748	422
NW_020109876.1	1664	423
NW_020109877.1	1756	420
NW_020109878.1	1752	421
NW_020109879.1	1800	416
NW_020109880.1	1782	418
NW_020109881.1	1840	414
NW_020109882.1	1834	415
NW_020109883.1	1935	411
NW_020109884.1	1908	412
NW_020109885.1	2071	407
NW_020109886.1	2033	409
NW_020109887.1	2149	404
NW_020109888.1	2087	406
NW_020109889.1	2260	401
NW_020109890.1	2214	402
NW_020109891.1	2308	399
NW_020109892.1	2262	400
NW_020109893.1	2462	396
NW_020109894.1	2402	397
NW_020109895.1	2520	394
