"","chr","pos","lod"
"1-0","1",0,0.773435872265054
"1-1","1",5,0.106494018709327
"1-2","1",10,0.206838611720514
"1-3","1",15,0.279857480467626
"1-4","1",20,0.239194207674245
"1-5","1",25,0.0807603330254096
"1-6","1",30,0.103822947595972
"1-7","1",35,0.138187698426918
"1-8","1",40,0.0929687314885541
"1-9","1",45,0.174743554575798
"1-10","1",50,0.117069525199668
"1-11","1",55,0.101141941033802
"1-12","1",60,0.140041498977098
"1-13","1",65,0.264450491127263
"1-14","1",70,0.168094376059344
"1-15","1",75,0.129583653871123
"1-16","1",80,0.202889095967294
"1-17","1",85,0.0600002435228362
"1-18","1",90,0.0882692712937114
"1-19","1",95,0.143982578656278
"1-20","1",100,0.0779504730257941
"1-21","1",105,0.0409001449304469
"1-22","1",110,0.0232302899289607
"1-23","1",115,0.0428502334889345
"1-24","1",120,0.254400806373269
"1-25","1",125,0.084516510020876
"1-26","1",130,0.133013237929163
"1-27","1",135,0.20594452304158
"1-28","1",140,0.413953648222105
"1-29","1",145,0.690143040896373
"1-30","1",150,0.496414300856486
"1-31","1",155,0.584122668261898
"1-32","1",160,1.44079851412198
"1-33","1",165,1.74264935084761
"1-34","1",170,1.6362786473569
"1-35","1",175,1.91425304038626
"1-36","1",180,1.70483607605547
"1-37","1",185,1.5420496125671
"1-38","1",190,1.04572606920647
"1-39","1",195,0.448341224446722
"1-40","1",200,0.13904106506493
"1-41","1",205,0.0674620722847976
"1-42","1",210,0.0251176214837869
"1-43","1",215,0.0570105255510498
"1-44","1",220,0.0163918526227462
"1-45","1",225,0.0577720360852254
"1-46","1",230,0.267462550483515
"1-47","1",235,0.202678221072802
"1-48","1",240,0.0121072339422881
"1-49","1",245,0.0441767163365512
"1-50","1",250,0.126005629483643
"1-51","1",255,0.377697618665707
"1-52","1",260,0.45973312787055
"1-53","1",265,0.329378023063555
"1-54","1",270,0.243962677326863
"1-55","1",275,0.251648595962479
"1-56","1",280,0.0307743295034015
"1-57","1",285,0.0519441753608589
"1-58","1",290,0.190816647206475
"1-59","1",295,0.153690958945162
"1-60","1",300,0.0365260546252557
"1-61","1",305,0.0414859014781541
"1-62","1",310,0.0373866537711365
"1-63","1",315,0.29556866700409
"1-64","1",320,0.249010884765312
"1-65","1",325,0.283673464787626
"1-66","1",330,0.440834579558896
"1-67","1",335,0.176496924053026
"1-68","1",340,0.238063229732234
"1-69","1",345,1.05504564339685
"1-70","1",350,1.0544229595173
"1-71","1",355,0.800760581830446
"1-72","1",360,0.553280752202454
"1-73","1",365,0.68052821194442
"1-74","1",370,0.822387190756217
"1-75","1",375,0.66348275586256
"1-76","1",380,0.888729074530374
"1-77","1",385,0.917394752690598
"1-78","1",390,1.17533848216431
"1-79","1",395,1.35887319217841
"1-80","1",400,0.530482953117826
"1-81","1",405,0.546293182653699
"1-82","1",410,0.0642504934667159
"1-83","1",415,0.00131088340390306
"1-84","1",420,0.0275586009133804
"1-85","1",425,0.123623491636863
"1-86","1",430,0.0701268849143162
"1-87","1",435,0.175625162059305
"1-88","1",440,0.0335038114064901
"1-89","1",445,0.084573056606132
"1-90","1",450,0.140606901879892
"1-91","1",455,0.0912326691923226
"1-92","1",460,0.311492333502883
"1-93","1",465,0.191794350280816
"1-94","1",470,0.101870810945684
"1-95","1",475,0.131843696467968
"1-96","1",480,0.179088955073667
"1-97","1",485,0.156259977271475
"1-98","1",490,0.134482097344062
"1-99","1",495,0.0607897295087696
"1-100","1",500,0.0102042064611396
"1-101","1",505,0.0225519725663617
"1-102","1",510,0.036430897770515
"1-103","1",515,0.0583094213577624
"1-104","1",520,0.180280220382201
"1-105","1",525,0.175271378471734
"1-106","1",530,0.608880179418748
"1-107","1",535,0.663046441312645
"1-108","1",540,0.553031836982882
"1-109","1",545,0.550435956233741
"1-110","1",550,0.378945341438339
"1-111","1",555,0.550526406974541
