"","chr","pos","lod"
"1-0","1",0,0.151532998093444
"1-1","1",1.00000002822922e-07,0.151532998242601
"1-2","1",2.00000005645844e-07,0.151532997823779
"1-3","1",3.00000008468766e-07,0.151532997248523
"1-4","1",0.63091088219995,0.264657233074104
"1-5","1",0.95816555866853,0.255021438148106
"1-6","1",0.958165658668532,0.255021435226809
"1-7","1",3.08908077014116,0.19624268181451
"1-8","1",4.95475300440512,0.151121524123027
"1-9","1",5.1832008071219,0.146029600821294
"1-10","1",5.29149949999816,0.143649180696229
"1-11","1",5.3438510042452,0.142420681650947
"1-12","1",6.96470378363615,0.118251335867171
"1-13","1",8.98701617030421,0.110207241076751
"1-14","1",9.87542098284789,0.109935976108318
"1-15","1",15.1765815664765,0.231177319103153
"1-16","1",21.455639505483,0.393841993480237
"1-17","1",22.0748456291395,0.386422315885738
"1-18","1",22.0748491831377,0.386422271320498
"1-19","1",22.1071495838843,0.386016270186246
"1-20","1",22.618574507536,0.379352460215159
"1-21","1",23.1415619155664,0.372106857174003
"1-22","1",25.0137590622656,0.251328873897819
"1-23","1",32.1742735275553,0.418161338956907
"1-24","1",44.5278384526093,0.712081039181157
"1-25","1",44.5278385526093,0.712081039700934
"1-26","1",44.5435374033531,0.712163542467806
"1-27","1",44.6382954750754,0.712656550555948
"1-28","1",45.440804754233,0.716484556132855
"1-29","1",46.3064293517806,0.719901122425199
"1-30","1",47.2029288062862,0.722641655394455
"1-31","1",52.4012070130832,0.747475764278079
"1-32","1",53.7956892742705,0.683348897370252
"1-33","1",53.7956893742705,0.683348892295271
"1-34","1",54.9833405724997,0.623088570092932
"1-35","1",58.2364140897801,0.461921565914963
"1-36","1",59.0825865182626,0.429349989104594
"1-37","1",59.4605592321351,0.415150127528705
"1-38","1",60.753358306524,0.366105583641001
"1-39","1",61.9951402604963,0.321813952806224
"1-40","1",62.2849006464447,0.31188370732707
"1-41","1",62.6228091594927,0.300498808338943
"1-42","1",62.7591242419905,0.295965806948971
"1-43","1",63.1480700628278,0.283221383744149
"1-44","1",63.9900036917698,0.256600011162845
"1-45","1",64.4580940380055,0.242374475147699
"1-46","1",69.2738582757444,0.280347340400567
"1-47","1",76.8199810503081,0.365124307213591
"1-48","1",80.8668267406075,0.218927890992745
"1-49","1",81.583015058808,0.194708651196834
"1-50","1",84.236007682282,0.181485802389943
"1-51","1",84.592868387488,0.182072117448115
"1-52","1",91.790054752041,1.01394393150031
"1-53","1",95.2146055162925,1.36379273951479
"1-54","1",100.26799228292,2.87867937317969
"1-55","1",100.735486210261,3.04454089795308
"1-56","1",103.31574298222,3.53574500033392
"1-57","1",109.721886054659,2.75446459665909
"1-58","1",112.277940151775,2.16922729082808
"1-59","1",113.671603783268,1.8147706063819
"1-60","1",124.383726697966,0.911186929043197
"1-61","1",126.042217523063,0.964430020763757
"1-62","1",126.334380728611,0.961811287805176
"1-63","1",127.236875704134,0.953823897369602
"1-64","1",127.710531700423,0.949708165778702
"1-65","1",128.466572676775,0.94327087871352
"1-66","1",132.72654101607,0.911163981006212
"1-67","1",135.535769112517,0.894867493943821
