"","chr","pos","lod"
"1-0","1",0,0.316600773247956
"1-1","1",39.1852644797208,0.169965571057219
"1-2","1",42.0997116412281,0.0688543401156494
"1-3","1",47.2023980083895,0.130232306624748
"1-4","1",49.8967062721711,0.270975400385396
"1-5","1",50.7249798940522,0.195162363714189
"1-6","1",51.4508889238653,0.151307232782528
"1-7","1",54.1585646229376,0.288084330938545
"1-8","1",56.0512233402433,0.289267013177778
"1-9","1",56.9866034845169,0.245154214509967
"1-10","1",57.3384963185378,0.264061622897316
"1-11","1",57.4428430411188,0.246652876850931
"1-12","1",59.7669086294618,0.155099842991149
"1-13","1",62.9896510256398,0.176934953911768
"1-14","1",63.5685573545067,0.171963435887847
"1-15","1",75.1442759327805,0.208202572255686
"1-16","1",77.3593999742733,0.247381623294132
"1-17","1",79.1474300142322,0.427032215276085
"1-18","1",79.1984258636793,0.404014297861067
"1-19","1",79.2590571382651,0.378118328923847
"1-20","1",80.541692065275,0.47398604238424
"1-21","1",81.5550189695672,0.675975343161554
"1-22","1",83.6757725641904,0.685686015111969
"1-23","1",99.9996964349731,0.525526763763082
"1-24","1",105.606005015211,0.339851860061572
"1-25","1",106.149637657915,0.394188920470697
"1-26","1",106.149637757915,0.394188917635802
"1-27","1",106.275568744062,0.389008896204359
"1-28","1",107.235562020718,0.361246041141385
"1-29","1",109.124709020725,0.360291526698347
"1-30","1",110.712678020218,0.62169717300003
"1-31","1",115.748504576005,1.1202288176637
"1-32","1",117.601962355084,1.3737644934381
"1-33","1",117.63020706515,1.33221419795245
"1-34","1",119.94666050757,1.64951004613431
"1-35","1",121.52883767944,1.76497008508522
"1-36","1",123.618646324252,1.6713792698074
"1-37","1",123.758020924397,1.68018209284764
"1-38","1",125.126278560053,1.51292139217458
"1-39","1",126.68903031755,1.43761889302004
"1-40","1",126.904447128805,1.3553966419995
"1-41","1",127.566710703996,1.07018627572324
"1-42","1",127.686177441906,1.09006663640412
"1-43","1",128.443438268576,1.24005494220273
"1-44","1",129.540397531703,1.2223327207148
"1-45","1",130.022267785566,1.17995408997285
"1-46","1",137.351090643527,2.87177757836889
"1-47","1",147.520791192914,2.41250275146558
"1-48","1",151.188127560234,3.36083820052409
"1-49","1",153.799490755519,3.45871727220583
"1-50","1",157.48676929249,3.74771675318698
"1-51","1",159.520034102611,4.15577840435617
"1-52","1",169.540303062076,4.91032130494568
"1-53","1",174.093691848502,4.47510501212582
"1-54","1",182.250069266638,3.99909096892134
"1-55","1",184.262238839301,5.19153445035408
"1-56","1",188.982906067597,5.78826906811355
"1-57","1",204.540850839119,3.24981149829091
"1-58","1",206.158404162795,2.74138793329257
"1-59","1",211.442607065527,1.31970530106173
"1-60","1",226.288925028897,0.0695187318233366
"1-61","1",227.403546397661,0.157084247432067
"1-62","1",228.334356339873,0.225221625741142
"1-63","1",228.828424894612,0.100877417344236
"1-64","1",230.250636753314,0.216651700727198
"1-65","1",231.728654489014,0.364209392570046
"1-66","1",235.313618632154,0.270415829229933
"1-67","1",238.427435993396,0.113775256307235
"1-68","1",240.741528261048,0.153050745054315
"1-69","1",241.986576939342,0.195604886911497
"1-70","1",245.345703253834,0.337771579931541
"1-71","1",248.65427749016,0.214195816826759
"1-72","1",262.365455895479,0.772205074279555
"1-73","1",266.133200263338,0.988479697514776
"1-74","1",266.261335722704,1.01329630133932
"1-75","1",266.459192893608,0.955559502092001
"1-76","1",273.656794898024,1.17518611284686
"1-77","1",273.722767119128,1.19992785228987
"1-78","1",275.500166124807,1.47301759725087
"1-79","1",278.916721157263,1.79883929856896
"1-80","1",280.965878680162,1.27224088898765
"1-81","1",283.832833889765,1.19245932602462
"1-82","1",287.185659164902,0.669292495035734
"1-83","1",300.649589450197,0.059535550963119
"1-84","1",305.551769047938,0.0100544847655328
"1-85","1",311.542503616647,0.0796452481563392
"1-86","1",323.283069327929,0.0254007127296063
"1-87","1",324.196484495879,0.0242467936604953
"1-88","1",325.680914179048,0.00125003461380402
"1-89","1",328.655905196703,0.0503906749590897
"1-90","1",338.734493425848,0.40574397853743
"1-91","1",340.145896093758,0.851254064717068
"1-92","1",342.160274554548,1.81432577970463
"1-93","1",353.513771074311,2.14389635975203
"1-94","1",359.170442968323,1.36089434178484
"1-95","1",359.355569650957,1.43911972254136
"1-96","1",359.610514678339,1.42500663783994
"1-97","1",360.800104918036,1.15623515963944
"1-98","1",361.203149043111,1.08976212454309
"1-99","1",361.43514897256,1.00016053836134
"1-100","1",363.645209770172,0.490196296726936
"1-101","1",364.528597263246,0.429106501035676
"1-102","1",365.3570310341,0.518885220972152
"1-103","1",367.044495025743,0.517033231345522
"1-104","1",367.721552406598,0.534080037500644
"1-105","1",369.557896256923,0.501947665166881
"1-106","1",372.863031549886,0.844514352063925
"1-107","1",375.920582151905,0.676312295448042
"1-108","1",379.02731994404,1.17680414180086
"1-109","1",379.866015949998,1.09750792660725
"1-110","1",385.249603405622,0.319577705588017
"1-111","1",395.770382603002,0.0407248498431727
"1-112","1",412.613289667381,0.260507189499549
"1-113","1",412.915792519857,0.299075588293817
"1-114","1",418.648565860372,0.316561565540724
"1-115","1",427.98717717099,0.427212945755855
"1-116","1",433.040339792445,0.222643370077094
"1-117","1",433.437602304763,0.307676074731717
"1-118","1",446.02953403226,0.142799815389481
"1-119","1",446.029534383695,0.142803353656745
"1-120","1",447.751774357797,0.0963405578067977
"1-121","1",449.906073693316,0.105175931686063
"1-122","1",452.613773578194,0.403651926016209
"1-123","1",455.03782000382,0.57728039840913
"1-124","1",467.587048160208,0.538755239407692
"1-125","1",469.823996589419,0.38360885048769
"1-126","1",481.546888365821,0.656203081450258
"1-127","1",492.895302160975,0.461617121479321
"1-128","1",495.468456253124,0.489978029539088
"1-129","1",495.495966929362,0.501403193421538
"1-130","1",496.026177850701,0.568744148671612
"1-131","1",504.803428195076,1.88001783634809
"1-132","1",513.627021919325,2.45719126741551
"1-133","1",515.06440473603,1.96867445621501
"1-134","1",525.840192587612,0.892612979850128
"1-135","1",540.689446762094,0.868903356289593
"1-136","1",554.660702341409,0.0461827452854777
"1-137","1",554.939293328334,0.0378255270679801
"1-138","1",556.217073403929,0.0351326065974717
"1-139","1",568.51743726469,0.191617861438317
"1-140","1",570.192078470769,0.302327217375932
"1-141","1",580.358753404427,0.828942151881165
"1-142","1",582.026833931227,1.06563488829033
"1-143","1",582.351105944548,1.10800238215143
"1-144","1",583.161455776138,1.14189965153946
"1-145","1",585.114824696608,1.09853591203409
"1-146","1",597.963142182789,0.102761186088173
"1-147","1",611.960139173438,0.243021756735288
"1-148","1",615.986518450075,0.331993478146615
"1-149","1",616.314671777239,0.339416552787952
"1-150","1",616.551969820306,0.270974136502446
