"","chr","pos","lod"
"1-0","1",0,0.565769038349117
"1-1","1",5,0.0351197252987276
"1-3","1",15,0.278544696542667
"1-6","1",30,0.0887083727948266
"1-10","1",50,0.122270011547016
"1-14","1",70,0.0594590945186155
"1-16","1",80,0.132322526887492
"1-17","1",85,0.0614078637574949
"1-24","1",120,0.403650922886072
"1-29","1",145,0.643800199862198
"1-31","1",155,0.483080148462022
"1-35","1",175,1.87116727684133
"1-38","1",190,1.18925652400685
"1-45","1",225,0.0844101643515387
"1-47","1",235,0.213359340726811
"1-52","1",260,0.479989819226375
"1-55","1",275,0.299949706386769
"1-57","1",285,0.128257984023094
"1-58","1",290,0.203761580660057
"1-61","1",305,0.0388472001559421
"1-65","1",325,0.149414413679096
"1-68","1",340,0.340987997118873
"1-71","1",355,0.816867734663674
"1-74","1",370,0.817022927472181
"1-75","1",375,0.673266785616079
"1-80","1",400,0.414053348308698
"1-82","1",410,0.0437581604207935
"1-83","1",415,0.00206856646855158
"1-87","1",435,0.201446405679008
"1-89","1",445,0.0732532417823677
"1-93","1",465,0.214044905346555
"1-94","1",470,0.133918115379856
"1-99","1",495,0.0660093703791063
"1-101","1",505,0.0335125111741945
"1-106","1",530,0.633851637960106
"1-109","1",545,0.58133238542041
"1-112","1",560,0.73736026335223
"1-113","1",565,0.864502020291184
"1-115","1",575,1.32861667315296
"1-118","1",590,1.71764135932972
"1-124","1",620,1.66905185295786
"1-126","1",630,0.564387785962481
"1-130","1",650,0.489113765882394
"1-131","1",655,0.611323890319909
"1-132","1",660,0.564874718450483
"1-136","1",680,0.494112485196183
"1-140","1",700,0.0454752623086279
"1-145","1",725,0.154304467395377
"1-150","1",750,0.586338000608976
"1-152","1",760,0.546729098590049
"1-159","1",795,0.748124231131669
"1-160","1",800,0.821532624992869
"1-171","1",855,3.88659652439947
"1-173","1",865,2.41282348381628
"1-174","1",870,2.7256516313148
"1-177","1",885,0.931950478377757
"1-179","1",895,0.916873126308019
"1-183","1",915,0.938445994746644
"1-184","1",920,1.40518448015746
"1-191","1",955,0.65625074647005
"1-193","1",965,0.531574641664974
"1-195","1",975,0.104371045545122
"2-2","2",10,0.00373211617215929
"2-4","2",20,0.221026799877791
"2-7","2",35,0.431340185108866
"2-8","2",40,0.335560421444143
"2-11","2",55,0.140253904957262
"2-15","2",75,0.0999195228705503
"2-19","2",95,0.0569216898202285
"2-24","2",120,0.00839487633447789
"2-26","2",130,0.0809867576715533
"2-32","2",160,0.0850293838889229
"2-34","2",170,0.362482737506525
"2-37","2",185,0.205234512310653
"2-40","2",200,0.0383755151219702
"2-42","2",210,0.0180622143602704
"2-47","2",235,1.0046400907795
"2-49","2",245,1.78881788797821
"2-56","2",280,1.58663466605549
"2-60","2",300,1.71421779378761
"2-63","2",315,1.88223884427998
"2-65","2",325,0.551479012500522
"2-68","2",340,0.0702787955679014
"2-70","2",350,0.0372004566308988
"2-77","2",385,0.0406979826957468
"2-80","2",400,0.117576409746562
"2-86","2",430,0.158577262942345
"2-87","2",435,0.121225304761538
"2-91","2",455,0.0635154930437238
"2-93","2",465,0.0505662609803039
"2-96","2",480,0.079186109393504
"2-100","2",500,0.4406834274007
