"","chr","pos","lod"
"1-0","1",0,0.383629733833004
"1-1","1",1.00000002822922e-07,0.383629733400539
"1-2","1",2.00000005645844e-07,0.383629734041506
"1-3","1",3.00000008468766e-07,0.383629734235683
"1-4","1",0.63092491468733,0.338556059468601
"1-5","1",0.958185751453072,0.365415667718253
"1-6","1",0.958185851453075,0.365415684582331
"1-7","1",3.08914541869424,0.334047888336499
"1-8","1",4.95485544844652,0.261976072955122
"1-9","1",5.18330737712358,0.246412647184343
"1-10","1",5.29160814029084,0.252468722909498
"1-11","1",5.34396061485976,0.230493277962523
"1-12","1",6.96484416403904,0.227640401203871
"1-13","1",8.98719943770513,0.32004601227095
"1-14","1",9.87561683189751,0.342884585686079
"1-15","1",15.1768991523353,0.31862371425359
"1-16","1",21.4561037336336,0.286606718688972
"1-17","1",22.0753198920467,0.279451098107074
"1-18","1",22.0753234540875,0.279454223818448
"1-19","1",22.1076244067211,0.30811526130401
"1-20","1",22.619058526567,0.294589352109824
"1-21","1",23.1420546410891,0.307030863240016
"1-22","1",25.0142876041334,0.309469658355511
"1-23","1",32.1749193244879,0.562202484274394
"1-24","1",44.52889596799,0.702721939606363
"1-25","1",44.52889606799,0.702721913791038
"1-26","1",44.544594681865,0.695817936072217
"1-27","1",44.6393543121021,0.666512767512359
"1-28","1",45.4418751557684,0.577044459184435
"1-29","1",46.3075157663761,0.482256830345477
"1-30","1",47.2040264027048,0.708587612007477
"1-31","1",52.4024188911948,1.37425611613048
"1-32","1",53.7969221048761,1.49334769761049
"1-33","1",53.7969222048761,1.49334768556105
"1-34","1",54.9845936613169,1.56693346289262
"1-35","1",58.2377366960764,1.86773067715808
"1-36","1",59.0839229935447,1.88091481108063
"1-37","1",59.4619024069933,1.90481282182486
"1-38","1",60.7547252997235,1.95902510982955
"1-39","1",61.9965309832042,1.93419663553709
"1-40","1",62.2862963252703,1.84799079922868
"1-41","1",62.6242106805866,1.73457324026231
"1-42","1",62.7605283223143,1.7486756377682
"1-43","1",63.149482113193,1.76958458321701
"1-44","1",63.9914328959123,1.80505845488233
"1-45","1",64.4595349041171,1.74731715796884
"1-46","1",69.2753205904005,3.85520385111136
"1-47","1",76.8219180489342,4.91038962116522
"1-48","1",80.8680986937367,5.49244537378627
"1-49","1",81.5844144929103,5.56573680446832
"1-50","1",84.2367888089771,5.5667939693933
"1-51","1",84.5932940351014,5.51847085630243
"1-52","1",91.8014478924556,6.25332338205908
"1-53","1",95.210746185637,6.37838466565904
"1-54","1",100.26361916484,6.83484165599384
"1-55","1",100.718358675402,6.96266164054441
"1-56","1",103.311414342133,7.34855026305468
"1-57","1",109.678933213897,5.62114453761933
"1-58","1",112.2578184486,4.14903854269505
"1-59","1",113.633074951296,3.14555485949518
"1-60","1",124.360928395338,0.0102232082281262
"1-61","1",126.018168383522,0.0489382957107409
"1-62","1",126.310490452786,0.0499199426033101
"1-63","1",127.212938582515,0.11907465612444
"1-64","1",127.686623484063,0.139999527338887
"1-65","1",128.44266026492,0.192459041501706
"1-66","1",132.702590989961,0.179631097052834
"1-67","1",135.511790915932,0.282805439422191
"1-68","1",135.815245331981,0.268727981890152
"1-69","1",138.802048338474,0.331697811930781
"1-70","1",139.678491329031,0.427677900601566
"1-71","1",141.410760345096,0.544152215708436
"1-72","1",152.6932061882,1.24024293759658
"1-73","1",155.487130982177,1.80530770002611
"1-74","1",155.617519899655,1.82367755817131
"1-75","1",155.617519999655,1.82367753169751
"1-76","1",159.872435277359,1.79086954749005
"1-77","1",159.872435377359,1.7908695581848
"1-78","1",160.452958258762,1.77341040832334
"1-79","1",164.218236564022,2.25576151048767
"1-80","1",164.587138805115,1.97066990440499
"1-81","1",168.496961581521,1.17979793490986
"1-82","1",169.925171818082,0.991998449142557
"1-83","1",175.919059080195,0.519090489041218
"1-84","1",181.267924984978,0.0286647921061558
"1-85","1",185.910824426837,0.0232547651210098
"1-86","1",191.714927517273,0.144433796612702
"1-87","1",192.087489201769,0.234491507803568
"1-88","1",193.417917613708,0.277875911752972
"1-89","1",194.296859676257,0.337874985616509
"1-90","1",201.440805859654,1.68169353407006
"1-91","1",201.561007482097,1.67992238702095
"1-92","1",203.193973343967,2.6034761243036
"1-93","1",210.305559100288,3.48373792069606
"1-94","1",216.737116287881,1.9346898006761
"1-95","1",216.737116387881,1.93468977842213
"1-96","1",216.901538095658,1.81529201739932
"1-97","1",217.130020787197,1.7460938116908
"1-98","1",217.841633466572,1.51608455185351
"1-99","1",217.894328122698,1.50459917922672
"1-100","1",219.227750996394,1.04600722219971
"1-101","1",220.683463116369,0.73873612042803
"1-102","1",221.132439687336,0.825336254148851
"1-103","1",222.562853318255,0.740850987610656
"1-104","1",222.562853418255,0.740850992073547
"1-105","1",224.623641845664,1.01286871028537
"1-106","1",226.526024787557,1.01272966495162
"1-107","1",229.193690084104,0.899447312141774
"1-108","1",231.116233790768,1.13525226217916
"1-109","1",231.116233890768,1.13525227521404
"1-110","1",234.694356008959,0.514411257746815
"1-111","1",242.831991525126,0.0117224120522224
