"","chr","pos","lod"
"1-0","1",0,0.10787265712861
"1-1","1",1.00000002822922e-07,0.107872657028565
"1-2","1",2.00000005645844e-07,0.107872657124972
"1-3","1",3.00000008468766e-07,0.107872657126791
"1-4","1",0.531289662361779,0.0966991693385353
"1-5","1",1.14863298794047,0.0846209197407006
"1-6","1",1.14863308794047,0.0846209203245962
"1-7","1",3.34672251399602,0.146642318350132
"1-8","1",6.37740906229336,0.239741807967221
"1-9","1",6.61759488041036,0.225300239433636
"1-10","1",6.89254768251886,0.225448357616187
"1-11","1",7.02329310998606,0.219927071213533
"1-12","1",8.39848522592186,0.187019274797422
"1-13","1",10.1926916408909,0.176661640140082
"1-14","1",14.3578918323173,0.243341967161541
"1-15","1",15.5955531682642,0.310866883435665
"1-16","1",20.522184081394,0.142449693326853
"1-17","1",22.0974315828655,0.152093148972199
"1-18","1",22.0974316828655,0.152093145339677
"1-19","1",22.3655524131415,0.141794632470919
"1-20","1",22.8013738521405,0.190651434062602
"1-21","1",23.9058882163762,0.259837281289947
"1-22","1",29.653741240988,0.0886592745682719
"1-23","1",31.5514135993208,0.119360634038458
"1-28","1",47.0906393506558,0.287447054308359
"1-29","1",47.8182622759605,0.230108064233718
"1-30","1",51.3071788721445,0.476995102888395
"1-31","1",55.3452934243246,0.915170139618567
"1-32","1",56.2004141978999,1.05594673378801
"1-33","1",57.058570204938,1.12504721339064
"1-34","1",58.8801033450945,1.28022132650221
"1-35","1",63.2509670244335,1.85880111771621
"1-36","1",65.3912149284674,2.11330777345393
"1-37","1",66.2516598110405,2.28252304462148
"1-38","1",67.329079309448,2.58099703094194
"1-40","1",70.4009133817162,2.70304896182824
"1-41","1",71.0464794113271,2.74776031731744
"1-42","1",71.0464795113271,2.7477603257812
"1-43","1",71.5267617403664,2.86241041271205
"1-44","1",72.2481319587695,2.991195957331
"1-45","1",74.7252273686774,3.15133749281449
"1-46","1",78.1464583713962,4.77678995577298
"1-47","1",83.0863213669643,6.90816147513397
"1-48","1",87.0684427324418,9.07768854509959
"1-49","1",90.2119995697281,9.70190133916003
"1-50","1",92.3978487217361,10.4938003372208
"1-51","1",98.9305902845688,9.30718118454206
"1-52","1",102.03852199457,8.51085040403086
"1-53","1",104.119619851128,7.68444882214681
"1-54","1",109.607589609815,8.16176932916096
"1-55","1",109.707142012327,8.15495449365517
"1-56","1",113.82739667893,7.00869430026432
"1-57","1",116.292003197055,5.73519746308739
"1-58","1",123.467584090257,1.90855377109438
"1-59","1",123.751984704517,1.80148902583096
"1-60","1",125.385701010157,1.63310527277827
"1-61","1",131.098169280847,1.07405744830976
"1-62","1",132.522156253474,0.919047921523088
"1-63","1",134.404681064827,0.676799726405079
"1-64","1",134.404681164827,0.676799720042254
"1-65","1",136.11425992193,0.478723895637813
"1-66","1",142.064509990829,0.100134162381437
"1-67","1",148.223208812386,0.0221091847706703
"1-68","1",149.017463725074,0.0286921962706401
"1-69","1",154.209326071301,0.170223694025481
"1-70","1",155.855741220335,0.281186137977784
"1-71","1",159.474168096492,0.457958392171349
"1-72","1",164.147521610524,0.87079851296221
"1-73","1",165.716455593194,1.52516806875065
"1-74","1",166.870850519646,1.86425003580007
"1-75","1",166.870850619646,1.86425004522971
"1-76","1",171.928252439165,2.05921190097251
"1-77","1",171.928252539165,2.05921192266942
"1-78","1",173.30987657048,2.25603030189814
"1-79","1",177.344469034105,2.47009531282674
"1-80","1",178.319393465806,1.8669657970222
"1-81","1",183.744157189133,0.896025840567745
"1-82","1",189.140548621421,0.324049433949767
"1-83","1",191.133878938843,0.190186592863029
"1-84","1",197.493828857025,0.00418870752037037
"1-85","1",201.7157282746,0.00275698840232508
"1-86","1",204.336168720375,0.0144485850905767
"1-87","1",205.971531794329,0.0198235142652265
"1-88","1",210.127153787203,0.10640412709472
"1-89","1",210.950339121337,0.102629970155249
"1-90","1",215.245211371883,0.384729859742947
"1-91","1",215.245211471883,0.38472988059948
"1-92","1",219.672486359694,1.75526214901765
"1-93","1",222.841470551465,2.11626299605632
"1-94","1",230.506486788998,1.79962819819411
"1-95","1",230.506486888998,1.79962817595151
"1-96","1",230.957615122533,1.60646991470094
"1-97","1",231.281311844807,1.57588321913681
"1-98","1",232.17497037429,1.42967739567393
"1-99","1",232.38898556601,1.40053520714719
"1-100","1",234.507462528534,1.17173825549253
"1-101","1",236.624123665958,1.09577154779254
"1-102","1",237.933997038444,1.24633035326042
"1-103","1",239.08574052331,1.195163419452
"1-104","1",239.085744343476,1.19516404286696
"1-105","1",242.253018056166,1.73698682201211
"1-106","1",244.703668135889,1.82502833355829
"1-107","1",248.935480821092,1.661302056973
"1-108","1",250.688156737298,1.70955844519085
"1-109","1",251.445376511896,1.64615991246319
"1-110","1",255.252830236633,0.978223891008383
"1-111","1",258.162550823218,0.481708385912498
"1-112","1",265.952172322349,0.0695390919172496
"1-113","1",265.952172422349,0.0695390927921835
"1-114","1",276.311608704981,0.788733665161999
"1-115","1",276.311608804981,0.788733671284717
"1-116","1",279.657943469328,0.885916761839326
"1-117","1",279.657943569328,0.885916760254986
"1-118","1",283.175970426476,0.857476303604926
"1-119","1",283.175970526476,0.857476299330301
"1-120","1",286.332129576765,0.597054117219159
"1-121","1",287.714303354518,0.585895322865326
"1-122","1",293.068648995784,0.648269517289009
"1-123","1",295.63486536046,0.692890321242885
"1-124","1",295.840165501571,0.728627407450404
"1-125","1",303.968366511462,0.252208633793998
"1-126","1",312.263998560131,0.242332417989019
"1-127","1",313.476036478073,0.255791204896013
"1-128","1",313.476036578073,0.255791201885586
"1-129","1",313.877485678914,0.279036053594609
"1-130","1",314.921402078059,0.258747208681598
"1-131","1",321.570633084999,0.217603554181551
"1-132","1",326.022582285984,0.427546400343999
"1-133","1",327.82462824379,0.595362259196918
"1-134","1",335.920739473429,0.939552595649729
"1-135","1",336.239065629975,0.934949255901302
"1-136","1",351.575005526487,1.43122148203656
"1-137","1",352.064708827324,1.42062910794994
"1-138","1",353.978120537753,1.56201251140192
"1-139","1",357.509550479308,1.13982373071849
"1-140","1",361.190475758321,0.723066197613662
"1-141","1",365.846757600085,0.260355348091252
"1-142","1",366.123313714704,0.204174873499142
"1-143","1",366.382160966391,0.159575672283609
"1-144","1",366.382161066391,0.159575666222736
"1-145","1",369.348434764615,0.063338661680973
"1-146","1",372.526223630885,0.0280346424460731
"1-147","1",388.062684294969,1.15086331415114
"1-148","1",389.171130948015,1.38724638403619
"1-149","1",390.192078717604,1.64722274416636
"1-150","1",390.782509211136,1.73911204067372
"1-151","1",391.027702001096,1.80740831036383
"1-152","1",391.528583019989,1.92236633563516
"1-153","1",392.141166859121,2.00631009064273
"1-154","1",396.903608204168,2.278871387045
"1-155","1",397.995514500043,1.88678619239363
"1-156","1",403.839069963985,2.91705725738393
"1-157","1",410.452776155393,3.84770254374598
"1-158","1",411.435398244569,3.9688628468557
"1-159","1",412.717247954408,4.13389690772601
"1-161","1",414.16399380148,4.29000797809567
"1-163","1",414.88268793882,4.2017798723009
"1-164","1",415.365311268413,4.45521019853732
"1-167","1",419.348434066622,4.88825032588102
"1-168","1",421.236975667727,4.7606759543014
"1-169","1",425.140760610776,4.97517211588638
"1-170","1",426.538303280642,4.95955527872502
"1-171","1",435.40706639532,4.69290645186265
"1-172","1",438.296517197583,4.39720817524903
"1-173","1",444.770332357188,4.9386155568518
"1-174","1",445.034352564479,4.96207994285214
"1-175","1",448.104516869688,5.1092258144854
"1-176","1",448.52594314689,5.07052661163289
"1-177","1",455.131680848033,3.86984513314928
"1-178","1",465.228930272779,2.17888049265275
"1-179","1",467.469145124279,1.82091290469907
"1-180","1",469.244171855141,1.54590708993055
"1-181","1",470.250825145236,1.44000519854853
"1-182","1",472.790963124574,1.07879031998709
"1-183","1",480.545432283626,0.788101691265183
"1-184","1",480.974502889049,0.779895370880695
"1-185","1",482.830696700377,0.934321787841327
"1-186","1",484.54555154689,0.967051224255556
"1-187","1",485.593886566044,0.851357406547322
"1-188","1",490.466490953063,0.208979623066625
"1-189","1",490.87799604423,0.186191659966426
"1-190","1",496.844573570479,0.125547629611901
"1-191","1",500.193924956107,0.324232710625438
"1-192","1",500.521826923075,0.391098025902465
"1-193","1",500.521827023075,0.391098039577628
"1-194","1",501.2519846092,0.469357626188867
"1-195","1",501.2519847092,0.469357628693615
"1-196","1",501.2519848092,0.469357631640378
"1-197","1",501.2519849092,0.469357631929597
"2-0","2",0,2.10053517039705
"2-1","2",1.00000002822922e-07,2.10053517152119
"2-2","2",2.00000005645844e-07,2.10053517210144
"2-3","2",3.00000008468766e-07,2.1005351727872
"2-4","2",0.19064185505493,2.10770341543321
"2-5","2",13.7414777651146,1.45142846347699
