"","chr","pos","lod"
"1-0","1",0,0.0893586677975691
"1-1","1",1.00000002822922e-07,0.0893586676365885
"1-2","1",2.00000005645844e-07,0.0893586679476357
"1-3","1",3.00000008468766e-07,0.0893586677921121
"1-4","1",0.180100354837658,0.0894850156323628
"1-5","1",0.199170656743778,0.089158983872494
"1-6","1",1.36159900601764,0.0450758120855426
"1-7","1",3.39875897362827,0.00270870739041129
"1-8","1",5.44261269144436,0.0113598105267556
"1-9","1",5.76141077045943,0.00660113740241286
"1-10","1",6.19502228517516,0.00797925620190654
"1-11","1",6.45648804672231,0.00508841083410516
"1-12","1",7.40163149155873,0.0047546016112392
"1-13","1",11.5714273671898,0.0907362662715059
"1-14","1",12.9659683994445,0.124974446188844
"1-15","1",16.3969440863455,0.133940254731442
"1-16","1",21.0244639903439,0.493694600911113
"1-17","1",21.0244640903439,0.493694608162514
"1-20","1",22.3616457815693,0.60849482982394
"1-21","1",23.2572418433394,0.591093821872619
"1-22","1",27.4059002050409,0.711748406901279
"1-23","1",29.5474842766268,0.692186176416271
"1-29","1",49.5578511830983,0.834144234564064
"1-30","1",49.5578512830983,0.834144238312547
"1-31","1",53.220246038544,1.02915135226203
"1-32","1",56.6607049755782,1.271488945491
"1-33","1",57.2636312757273,1.29037105780117
"1-34","1",58.960807473176,1.29259128614922
"1-35","1",59.0747646114494,1.29402511865828
"1-43","1",72.5329182113327,1.82695448767754
"1-45","1",73.1062714443451,1.99634931550463
"1-46","1",76.1875784814109,2.94505121537259
"1-47","1",79.7707605606068,4.16257684071479
"1-48","1",84.2045338419682,5.64661147672905
"1-49","1",86.8440258514685,5.95658000598087
"1-50","1",89.8559380246652,6.42170621704008
"1-51","1",91.1701358493934,6.66260075175342
"1-52","1",98.0457522363926,6.27485402592447
"1-53","1",100.599901772354,6.45018790661743
"1-54","1",105.855955350565,5.64686217438248
"1-55","1",106.305030596552,5.61054661714024
"1-56","1",110.646286859892,5.65645624269837
"1-57","1",112.316534809971,5.3827241355948
"1-58","1",122.855850878182,2.22637872649011
"1-59","1",123.118507119863,2.15687057494324
"1-60","1",123.569542083227,2.08019692043945
"1-64","1",133.825728925025,0.564532859345036
"1-65","1",134.240762221999,0.535896004745609
"1-66","1",137.789255765453,0.158401050516204
"1-67","1",142.778205011269,0.0740207799813106
"1-68","1",148.916468226775,0.408083057106069
"1-69","1",150.160814491816,0.466302805079522
"1-70","1",155.558192067436,0.751840100169829
"1-71","1",157.542386315948,1.01684283185386
"1-72","1",164.753504229935,1.15014525321294
"1-73","1",167.054938710684,1.29409504531668
"1-74","1",167.319495024987,1.29219276638105
"1-75","1",167.319495124987,1.2921927570651
"1-76","1",171.385235811762,0.769111459766009
"1-77","1",173.676186622874,0.913808835827695
"1-78","1",173.676186722874,0.913808844692085
"1-79","1",174.367264811896,0.920171134312568
"1-80","1",179.490314527764,0.633910449065752
"1-81","1",181.658432056274,0.43543237978156
"1-82","1",187.129692877773,0.325206873019397
"1-83","1",192.618296108061,0.189049265015001
"1-84","1",198.81591925089,0.135248731825868
"1-85","1",202.293531998207,0.0713455736554351
"1-86","1",203.970106101351,0.0871460505827599
"1-87","1",207.28719461181,0.221442519402444
"1-88","1",212.16717849475,0.229253165816772
"1-89","1",213.198469652217,0.264667755073333
"1-90","1",217.249988415542,0.561928534947128
"1-91","1",217.249988515542,0.561928556946441
"1-92","1",221.489417771974,1.68252709982244
"1-93","1",224.977340214116,1.9248085372783
"1-94","1",230.63950034567,1.15068590875853
"1-99","1",234.184460121817,0.52190916825748
"1-100","1",235.519704901682,0.439224290890706
"1-101","1",238.234194038478,0.318829153677598
"1-102","1",238.807476337761,0.299551801740563
"1-103","1",239.686373531989,0.336803853938363
"1-104","1",241.716309381216,0.264583913588012
"1-105","1",242.699208113893,0.291510715891945
"1-106","1",245.082131433612,0.395476471202528
"1-107","1",247.366071744258,0.441957529144474
"1-108","1",251.875221643136,0.735652748611756
"1-109","1",252.92531367575,0.739098298468434
"1-110","1",256.247522511381,0.448175022486339
"1-111","1",259.442791333341,0.078012499183842
"1-112","1",273.028555374016,0.133786303527359
"1-113","1",273.028555474016,0.133786301121745
"1-114","1",279.065849660313,0.0231412144489695
"1-115","1",280.945593997585,0.00484539766239322
"1-116","1",282.668941754107,0.0354401350500666
"1-117","1",282.752008066966,0.0361050085489296
"1-118","1",287.425662714823,0.0447651570311791
"1-119","1",287.425662814823,0.0447651585836866
"1-120","1",289.805194975989,0.0676567987916314
"1-121","1",291.713970590824,0.0795129179041396
"1-122","1",296.817706681167,0.0925657034858887
"1-123","1",299.78834421803,0.108809130755162
"1-124","1",300.074756091524,0.0886795989003986
"1-125","1",314.27767647859,0.0557923455180571
"1-126","1",318.13795417561,0.262729372313515
"1-127","1",319.469951425236,0.496535064946329
"1-128","1",319.469951525236,0.496535083761046
"1-129","1",319.469951625236,0.496535104240593
"1-130","1",321.00904795993,0.764877781532959
"1-131","1",327.629183050182,2.34169003180978
"1-132","1",332.410738196643,2.1290018019572
"1-133","1",335.589552508598,1.74787691686743
"1-134","1",345.268087698746,0.488779593445997
"1-135","1",345.677436390414,0.466960399825439
"1-136","1",350.109251907007,0.280832956284939
"1-137","1",351.349842069264,0.21599055250681
"1-138","1",358.186162533186,0.393457071006651
"1-139","1",361.112744372097,0.338006060042517
"1-140","1",366.321448572618,0.156611020563105
"1-141","1",369.585768625533,0.148698674890056
"1-142","1",369.871874912553,0.153291150998484
"1-143","1",370.110916187366,0.19610319848789
"1-144","1",370.371988058898,0.228963704245416
"1-145","1",373.406676217422,0.363008014823208
"1-146","1",377.554726965987,0.506189059141434
"1-147","1",391.33696985528,0.98804000532391
"1-148","1",391.33696995528,0.988040002621347
"1-149","1",391.590196167092,1.00366755685809
"1-150","1",391.976275117849,1.06468369896356
"1-151","1",392.693376325981,1.21826007651271
"1-152","1",392.870655710851,1.23892195350345
"1-153","1",394.42585553637,1.26121238463384
"1-154","1",400.180737149453,1.54192797618634
"1-155","1",402.325073889479,1.9809321707462
"1-156","1",408.453977372865,2.46389154729331
"1-157","1",409.77565148945,2.82889940299901
"1-169","1",426.391292034337,4.84271755029113
"1-170","1",427.000033782134,4.87518117817399
"1-171","1",435.656234448896,5.62536970274687
"1-172","1",438.773474308909,5.52824601792054
"1-173","1",446.099973613757,4.40171504356931
"1-174","1",447.895292525204,3.92338444672259
"1-175","1",449.151443767278,3.8893510907028
"1-176","1",450.520069027935,3.83660223994866
"1-177","1",455.914858449585,2.48656992536326
"1-178","1",467.478772505327,0.886034379055218
"1-179","1",470.907679533352,0.695100758809076
"1-180","1",470.907679633352,0.695100751526752
"1-181","1",472.448051841657,0.613136686983125
"1-182","1",475.119013646207,0.549574213008782
"1-183","1",478.101910388135,0.623081346109757
"1-184","1",481.248870094279,0.463728538575197
"1-185","1",483.500796867526,0.505658689588017
"1-186","1",484.982904795757,0.58289998702503
"1-187","1",485.482530873423,0.614863677790254
"1-188","1",490.803439656377,0.241249996515307
"1-189","1",491.353634082914,0.192407317809739
"1-190","1",497.213129568143,0.0224188859569949
"1-191","1",501.824440500163,0.134103825075726
"1-192","1",501.824440600163,0.134103828427669
"1-193","1",502.055820645115,0.124705956667185
"1-194","1",502.493136665584,0.116428991418161
"1-195","1",502.493136765584,0.116428992853344
"1-196","1",502.493136865584,0.116428994334001
"1-197","1",502.493136965584,0.116428994411308
"2-0","2",0,0.575854333939333
"2-1","2",1.00000002822922e-07,0.575854334331325
"2-2","2",2.00000005645844e-07,0.575854334610995
"2-3","2",3.00000008468766e-07,0.57585434201701
"2-4","2",0.27758238140177,0.536977947957894
"2-5","2",17.5273344238486,0.758279206709631
"2-6","2",18.7525129827389,0.685044915581329
"2-7","2",21.0668772176107,0.571698700592151
"2-13","2",30.6908766917793,0.311567497422402
"2-14","2",30.6908767917793,0.311567495324198
"2-15","2",33.6245965647965,0.308921167372318
"2-16","2",36.3440534141172,0.37925523927106
"2-19","2",55.3877860812332,0.431908906428362
"2-20","2",56.1181889494771,0.421114904960177
"2-21","2",61.9748657033348,0.574683262938834
"2-22","2",66.6851265384188,0.7731053576872
"2-23","2",67.9779205453698,0.711284069262092
"2-24","2",73.1441251767843,0.365529924141811
"2-25","2",76.2393201733212,0.158724897295542
"2-26","2",76.4817577810501,0.153252545442228
"2-27","2",77.5695305510549,0.112778338102089
"2-28","2",77.9753973158742,0.0885648490775566
"2-29","2",79.6305599248299,0.113719864951236
"2-30","2",81.5272627096756,0.358310206029728
"2-31","2",82.5039636278404,0.655177346960045
"2-32","2",97.836408954215,2.1246353627439
"2-33","2",100.917608150237,2.25895368614965
"2-34","2",105.750912127368,3.30022630399071
"2-35","2",106.659962267504,3.54346122891729
"2-36","2",106.659962367504,3.54346125385109
"2-37","2",108.322674908786,3.8951087821124
"2-38","2",111.263056136731,4.42322481386964
"2-39","2",121.193359004255,2.04111160073808
"2-40","2",121.660986052724,2.00687315298001
"2-41","2",124.968788025264,0.929371327767058
"2-42","2",128.379747518151,0.326866211027664
"2-43","2",131.074850766386,0.0475821692621139
"2-44","2",137.193127258086,0.0325455915708517
"2-45","2",143.431147177287,0.0537915888812677
"2-46","2",147.248944945151,0.064324549711273
"2-47","2",150.363277026387,0.0668442765086183
"2-48","2",151.870021034214,0.0707127069745184
"2-53","2",158.253964993299,0.102892365820026
"2-54","2",159.011149068921,0.150415922247248
"2-55","2",160.432959395105,0.177411792612929
"2-56","2",164.772990322014,0.570385467628967
"2-57","2",168.942948482344,1.03271214705728
"2-58","2",168.942948582344,1.03271213829476
"2-59","2",174.836988672418,0.987587438610717
"2-60","2",175.511020211352,1.00354031640518
"2-61","2",184.341818296282,1.42281841978547
"2-62","2",186.605921214881,1.45354050346214
"2-63","2",189.916592037012,0.811066731263509
"2-64","2",190.695400209075,0.716574965347718
"2-65","2",199.68344987033,0.424310480636905
"2-66","2",199.68344997033,0.424310477674226
"2-67","2",204.209885621807,0.347065864187243
"2-68","2",205.153811559323,0.317714762809373
"2-69","2",205.632132764878,0.314619880018654
"2-70","2",205.632132864878,0.314619881340604
"2-71","2",206.240633325121,0.344111075781711
"2-72","2",206.364067767773,0.348126042110835
"2-73","2",206.631602762701,0.366175722620483
"2-74","2",208.252519804007,0.445363082534641
"2-75","2",209.357379403856,0.557236405986714
"2-76","2",211.658635940801,0.697626270181445
"2-77","2",211.658636040801,0.697626276571555
"2-78","2",214.025461649365,0.966838997852847
"2-79","2",216.055981084173,1.29839272824665
"2-80","2",216.172990300427,1.31214600938893
"2-81","2",216.563808513887,1.27558223122924
"2-82","2",218.109532582853,1.50641487299345
"2-83","2",218.777961351044,1.6270645761424
"2-84","2",220.01627209524,1.88760378845836
"2-91","2",227.943398742394,2.45187584423911
"2-92","2",229.268280746849,2.62246387991036
"2-93","2",230.786819173125,2.94777097928909
"2-98","2",237.621798961813,4.03036339452865
"2-99","2",237.878035329595,4.02962967484291
"2-100","2",245.705353310206,4.28800799306373
"2-103","2",252.378788755152,3.69855390850989
"2-105","2",263.410802778616,2.08366626033876
"2-107","2",267.342831748524,1.74512916658205
"2-108","2",267.878553124761,1.60390050256046
"2-109","2",271.38649250179,1.03494015369506
"2-110","2",274.824247483927,1.30676843917263
"2-111","2",274.824247583927,1.30676843549736
"2-112","2",279.216229844567,0.984997618201305
"2-113","2",284.568595289316,0.642668123034582
"2-114","2",288.797283834036,0.600635891776619
"2-115","2",288.797283934036,0.600635893483741
"2-116","2",295.872306051578,0.911722008286688
"2-117","2",298.006666297888,1.22044757706044
"2-118","2",301.933736810239,1.40434100230505
"2-119","2",305.459423504417,1.47743686420108
"2-120","2",306.654747497376,1.46374396174542
"2-121","2",308.596806861918,1.22725526474551
"2-123","2",310.761493880004,1.15559001917973
"2-124","2",313.668177515358,1.22391482289095
"2-125","2",313.668177615358,1.22391481971135
"2-126","2",319.201738507239,0.949145791185401
"2-127","2",321.511345877386,0.768220415421183
"2-128","2",327.87239420295,0.757957215131228
"2-129","2",329.519183825834,0.564199751631804
"2-130","2",331.523155936746,0.581114528843955
"2-131","2",336.143199440761,0.385288948878497
"2-132","2",338.686781737827,0.367167079951741
"2-133","2",339.270967519452,0.385060617191812
"2-134","2",340.072412862694,0.428961943882314
"2-135","2",340.072412962694,0.42896194588684
"2-136","2",348.954235022508,0.294185091430791
"2-137","2",348.954235122507,0.29418509217885
"2-138","2",353.675690058313,0.248825820341608
"2-139","2",353.947439945358,0.21628232917783
"2-140","2",357.153712600979,0.0143160657435146
"2-141","2",358.461033224645,0.00969233870773678
"2-142","2",359.817638928297,0.0649680125106897
"2-143","2",359.922960202077,0.0614965149916316
"2-144","2",359.922960302077,0.0614965179847786
"2-145","2",360.507034636932,0.0944459065945011
"2-146","2",360.569000655541,0.0892499055216831
"2-147","2",360.569000755541,0.0892499050514743
"2-148","2",360.569000855541,0.0892499044548458
"2-149","2",360.569000955541,0.0892499041342489
