Marker	Chromosome	cM	Mbb										
RBL438	1	0.0	0.3										
rs14080307	1	36.0	0.7										
rs13824562	1	41.7	2.4										
rs13621730	1	47.5	6.1										
rs14795085	1	57.1	13.8										
rs14792587	1	63.4	15.9										
RBL1258	1	68.6	17.2										
rs13837741	1	78.1	24.6										
rs13842499	1	89.9	29.1										
MCW0254	1	92.3	31.4										
rs13847756	1	101.1	34.9										
rs13851434	1	115.4	38.0										
rs14816632	1	127.1	45.1										
rs14818658	1	135.1	47.8										
rs13865452	1	149.3	52.5										
LEI0146	1	159.7	55.3										
rs15276085	1	167.5	57.9										
rs14828994	1	170.1	58.6										
rs14832321	1	176.3	61.8										
MCW0018	1	187.9	65.7										
rs13880460	1	196.0	68.6										
rs13883708	1	210.5	71.5										
rs13819552	1	218.2	74.0										
rs13819560	1	218.6	74.0										
RBL2228	1	219.0	74.2										
RBL4547	1	219.2	74.3										
rs13834451	1	220.3	9.9										
rs13997062	1	221.3	75.0										
MCW0058	1	222.9	79.0										
LEI0071	1	223.7	79.5										
rs13887893	1	230.5	80.9										
rs14693408	1	230.8	81.4										
rs15318252	1	235.1	82.3										
rs13583965	1	250.6	86.1										
rs13646704	1	255.3	87.6										
ADL0367	1	266.7	91.6										
rs15340573	1	268.1	92.1										
BU-1-1-85821084	1	273.9	na										
LEI0108	1	280.6	97.1										
rs15353627	1	282.9	99.6										
rs14864919	1	286.9	104.2										
rs13914871	1	291.5	107.8										
rs13918284	1	301.1	110.5										
MCW0200	1	302.4	111.3										
rs13921245	1	310.4	113.5										
rs14876047	1	323.6	116.9										
rs15402046	1	333.8	122.8										
ADL0353	1	337.6	124.2										
rs14884222	1	351.5	128.7										
RBL3441	1	352.7	129.1										
MCW0036	1	353.5	129.3										
RBL1448	1	354.3	130.8										
rs14887388	1	360.4	134.4										
rs13625427	1	372.0	138.0										
LEI0107	1	387.4	143.7										
rs13951254	1	391.0	147.8										
rs13954000	1	401.1	150.1										
rs13958072	1	407.0	156.9										
rs14905876	1	407.7	157.1										
LEI0079	1	410.6	158.4										
LEI0162	1	426.3	169.1										
ADL0245	1	434.6	171.7										
rs13552040	1	435.3	171.9										
rs15502284	1	448.0	175.2										
rs14920831	1	455.4	177.7										
rs15516954	1	466.8	181.1										
rs13982336	1	473.1	182.7										
IAP1-1-174542266	1	481.1	na										
rs14931269	1	483.5	189.3										
LEI0134	1	490.5	191.8										
rs14935422	1	493.2	193.3										
RBL2401	1	494.6	195.1										
GCT0001	1	497.1	197.6										
rs15054320	2	0.0	2.0										
rs13534858	2	14.8	4.4										
rs14134143	2	25.7	7.0										
rs15884716	2	30.0	8.8										
rs14139143	2	35.2	11.6										
ADL0190	2	39.0	15.3										
rs14143285	2	39.6	15.7										
MCW0247	2	47.6	19.4										
rs15910200	2	48.0	19.4										
rs15075023	2	60.3	24.1										
rs15077078	2	67.2	26.9										
rs15081191	2	81.5	32.4										
rs15083693	2	90.0	35.0										
MCW0063	2	95.2	37.9										
rs13670674	2	103.1	41.2										
rs13671945	2	110.7	43.4										
rs14178920	2	127.5	47.9										
rs15099222	2	132.4	50.4										
MCW0062	2	134.1	56.1										
MCW0293	2	143.4	59.6										
rs15105085	2	146.6	60.5										
rs15107772	2	155.2	63.4										
rs14196021	2	160.4	65.5										
rs14200463	2	177.1	68.9										
LEI0096	2	183.2	71.0										
rs16039935	2	186.2	77.5										
ADL0157	2	191.7	80.7										
MCW0179	2	199.9	86.6										
MCW0087	2	201.7	87.2										
rs15126683	2	207.7	91.2										
rs14219471	2	216.4	93.7										
UMA02	2	220.1	96.1										
RBL4114	2	224.4	100.0										
LEI0147	2	228.2	101.6										
RBL3577	2	229.7	102.2										
RBL3422	2	229.9	102.2										
rs14225365	2	231.4	103.3										
rs16092012	2	242.8	108.0										
RBL8	2	251.0	111.1										
rs14232457	2	253.2	112.1										
RBL2593	2	253.9	112.8										
rs13796585	2	257.1	114.7										
MCW0234	2	257.3	114.9										
rs16107541	2	263.0	117.4										
rs16108913	2	265.5	119.0										
rs14240558	2	273.3	122.4										
rs14242430	2	276.2	125.0										
rs13731505	2	286.4	129.5										
MCW0245	2	296.2	131.9										
RBL3465	2	302.2	na										
rs16136501	2	307.3	135.5										
LEI0070	2	311.4	139.6										
rs13762257	2	319.6	143.8										
MCW0320	2	323.2	145.8										
rs14260168	2	327.4	149.7										
LEI0031	2	330.8	153.3										
MCW0311	2	331.7	153.7										
rs13758611	2	332.6	154.4										
rs14308203	3	0.0	2.4										
rs14310908	3	14.9	4.6										
MCW0169	3	23.0	6.6										
rs16222521	3	37.3	9.5										
rs14084016	3	50.5	15.0										
rs13717180	3	60.7	18.8										
rs14326182	3	77.5	24.0										
MCW0222	3	78.5	24.2										
rs14330022	3	86.0	27.8										
rs14336675	3	105.1	33.7										
rs15321683	3	109.1	35.5										
ADL0155	3	112.8	37.6										
rs14341292	3	113.1	37.8										
rs13675715	3	127.0	42.4										
ADL0371	3	140.0	45.2										
MCW0004	3	154.2	51.6										
rs16281414	3	163.7	57.1										
RBL2668	3	172.3	60.2										
rs15366849	3	172.9	61.3										
rs14367728	3	178.6	65.6										
rs15375524	3	182.2	68.3										
rs14376988	3	200.9	75.5										
MCW0224	3	207.2	79.8										
ADL0024	3	216.5	83.4										
rs13696669	3	224.1	87.9										
rs14391415	3	227.6	90.5										
MCW0207	3	231.1	92.9										
rs14397663	3	238.7	96.8										
rs14400934	3	248.6	100.1										
LEI0065	3	255.2	103.8										
rs13702405	3	256.6	103.9										
rs14408135	3	262.8	107.3										
rs15471980	4	0.0	1.0										
ADL0143	4	1.5	1.4										
ADL0317	4	14.3	3.5										
rs14421644	4	20.3	4.1										
rs15484517	4	30.7	6.8										
rs13643096	4	33.7	9.4										
rs14428592	4	40.8	11.4										
rs15500313	4	49.0	13.5										
rs14435605	4	64.2	17.7										
ADL0145	4	65.5	17.9										
MCW0251	4	67.0	19.2										
rs14438666	4	68.4	24.6										
rs15522441	4	74.2	29.5										
rs14446940	4	86.3	33.1										
rs15542429	4	97.4	37.0										
rs15544037	4	98.0	38.1										
MCW0091	4	102.5	39.7										
rs15549573	4	106.1	40.9										
rs15554707	4	110.6	44.0										
LEI0125	4	111.4	44.7										
rs14462677	4	119.7	47.8										
rs15581865	4	140.3	55.0										
LEI0076	4	151.4	62.1										
rs14479812	4	153.4	63.2										
rs15607084	4	161.9	67.9										
RBL1352	4	172.7	71.6										
rs14488074	4	173.0	71.6										
LEI0148	4	173.7	na										
rs14491521	4	182.4	79.5										
rs13664708	4	185.3	81.1										
MCW0098	4	186.8	81.5										
rs13666021	4	192.3	84.6										
rs16444662	4	193.8	85.5										
LEI0085	4	195.3	85.9										
LEI0073	4	204.5	88.4										
rs15643977	4	210.8	91.7										
