name_add,est_add,SE_add,markers,name_dom,est_dom,SE_dom,chromosome,pos_Mb
1@189.0a,19.617375164170195,4.037556569200284,1-56,1@189.0d,10.036671843632057,5.800634858496775,1,56
1@668.5a,31.58717473453495,4.059371533834581,1-171,1@668.5d,-1.7392964016213972,5.863934018173342,1,171
2@370.8a,13.471634717606259,3.9696083187000126,2-99,2@370.8d,7.976766986360701,5.83460898374691,2,99
2@440.1a,16.572399485830445,4.0389870586845,2-113,2@440.1d,-1.2488173197207608,5.73483234222283,2,113
3@94.5a,11.633455730388416,4.268222998530148,3-35,3@94.5d,-15.020139584270318,6.077792196063668,3,35
3@193.3a,20.345136689265196,4.164512510924473,3-74,3@193.3d,-11.9410109694949,5.90076912239191,3,74
4@77.4a,20.71348773145088,4.3665691505700135,4-11,4@77.4d,3.4492677688163624,6.247662822314344,4,11
4@142.4a,20.436330393883985,3.9892775491079857,4-23,4@142.4d,-10.649994209989764,5.786329963654612,4,23
4@211.6a,25.62006666231251,4.164512510924473,4-36,4@211.6d,-9.512755070037867,5.83460898374691,4,36
4@333.9a,14.64284798280829,3.914176851186634,4-70,4@333.9d,-11.73180188242828,5.9025572342471815,4,70
5@3.2a,12.852948015682744,3.5440376971456864,5-1,5@3.2d,-9.643287235472597,7.213243224160293,Z,1
5@29.2a,12.75281375178761,3.8140425872914987,5-10,5@29.2d,8.770688650100704,7.129201966962589,Z,10
5@111.0a,13.959789254095044,3.4152936435662267,5-34,5@111.0d,2.9271391070774415,7.383113850410969,Z,34
6@170.0a,20.894087028833173,4.270011110385419,6-30,6@170.0d,-6.61243764078948,6.140376110998127,5,30
7@11.0a,5.217710393678665,4.255706215543257,7-4,7@11.0d,18.439009451547086,6.167197788827181,7,4
7@65.7a,25.557482747378053,3.980336989831634,7-21,7@65.7d,9.441230595827056,5.888252339405018,7,21
9@10.0a,-7.097015953567724,4.232460761424743,9-4,9@10.0d,18.158275890269653,6.0616991893662355,8,4
11@69.1a,22.299542947075608,3.9123887393313637,11-9,11@69.1d,-6.9593313407119135,5.89898101053664,10,9
11@126.2a,15.839094813984103,4.293256564503932,11-21,11@126.2d,8.506048095520702,6.000903386287046,10,21
13@13.8a,13.16944381406558,4.0357684573450125,13-7,13@13.8d,17.14978080389722,5.764872621391369,11,7
14@71.3a,19.61558705231493,3.9195411867524443,14-12,14@71.3d,6.760850924776914,5.9848103795896135,13,12
15@45.7a,14.043830511292747,4.116233490832175,15-6,15@45.7d,-10.322769740475302,5.936531359497316,14,6
15@86.4a,16.000024880958428,4.27358733409596,15-16,15@86.4d,-4.246765656266906,5.909709681668263,14,16
16@32.7a,16.34334235717032,4.270011110385419,16-11,16@32.7d,10.101043870421789,6.231569815616911,20,11
27@48.2a,10.860991408911655,4.284316005227581,27-6,27@48.2d,17.417997582187756,6.192231354800966,23,6
