"","chr","pos","lod"
"1-0","1",0,0.0196489830095743
"1-1","1",1.00000002822922e-07,0.0196489828922495
"1-2","1",2.00000005645844e-07,0.0196489827903861
"1-3","1",3.00000008468766e-07,0.0196489827576443
"1-4","1",0.63091088219995,0.03392364825595
"1-5","1",0.95816555866853,0.0315552487727473
"1-6","1",0.958165658668532,0.0315552480724364
"1-7","1",3.08908077014116,0.0205247522198988
"1-8","1",4.95475300440512,0.0166075898760027
"1-9","1",5.1832008071219,0.0164109142588131
"1-10","1",5.29149949999816,0.0163400322280722
"1-11","1",5.3438510042452,0.0169173573813168
"1-12","1",6.96470378363615,0.0401410818458316
"1-13","1",8.98701617030421,0.0369169148016226
"1-14","1",9.87542098284789,0.0294875309600684
"1-15","1",15.1765815664765,0.085820128107116
"1-16","1",21.455639505483,0.368568935775329
"1-17","1",22.0748456291395,0.382737107270259
"1-18","1",22.0748491831377,0.382737189647742
"1-19","1",22.1071495838843,0.383486375070788
"1-20","1",22.618574507536,0.395482773549702
"1-21","1",23.1415619155664,0.408009854617376
"1-22","1",25.0137590622656,0.412443681688274
"1-23","1",32.1742735275553,0.714772616632217
"1-24","1",44.5278384526093,1.21173052920403
"1-25","1",44.5278385526093,1.21173052796075
"1-26","1",44.5435374033531,1.21153360532116
"1-27","1",44.6382954750754,1.21032817064497
"1-28","1",45.440804754233,1.19896725257422
"1-29","1",46.3064293517806,1.18442607289489
"1-30","1",47.2029288062862,1.15592377810481
"1-31","1",52.4012070130832,1.17264122303186
"1-32","1",53.7956892742705,1.20417903109774
"1-33","1",53.7956893742705,1.20417902968165
"1-34","1",54.9833405724997,1.18649474450103
"1-35","1",58.2364140897801,1.12664565914838
"1-36","1",59.0825865182626,1.12883190859793
"1-37","1",59.4605592321351,1.12981449798463
"1-38","1",60.753358306524,1.13148759352953
"1-39","1",61.9951402604963,1.13224922094651
"1-40","1",62.2849006464447,1.13224829713909
"1-41","1",62.6228091594927,1.13214377042641
"1-42","1",62.7591242419905,1.1320679436576
"1-43","1",63.1480700628278,1.13173793245642
"1-44","1",63.9900036917698,1.13039307841336
"1-45","1",64.4580940380055,1.12910440153883
"1-46","1",69.2738582757444,1.89569119553107
"1-47","1",76.8199810503081,3.79155369967521
"1-48","1",80.8668267406075,3.71346023687238
"1-49","1",81.583015058808,3.64192766164706
"1-50","1",84.236007682282,3.79488153128113
"1-51","1",84.592868387488,3.81067644932136
"1-52","1",91.790054752041,5.57631784468595
"1-53","1",95.2146055162925,5.66253940385104
"1-54","1",100.26799228292,7.55876595597056
"1-55","1",100.735486210261,7.64156901037768
"1-56","1",103.31574298222,7.16270492464082
"1-57","1",109.721886054659,4.81516144403577
"1-58","1",112.277940151775,3.45053169975654
"1-59","1",113.671603783268,2.67698444391499
"1-60","1",124.383726697966,0.257468766139027
"1-61","1",126.042217523063,0.227370365168099
"1-62","1",126.334380728611,0.224886204909126
"1-63","1",127.236875704134,0.217753938255555
"1-64","1",127.710531700423,0.214341333933589
"1-65","1",128.466572676775,0.216095890729775
"1-66","1",132.72654101607,0.246541786165835
"1-67","1",135.535769112517,0.249024945599558
"1-68","1",135.839226024482,0.249659566236005
"1-69","1",138.826075264339,0.311511787303971
"1-70","1",139.702512851049,0.327168361397526
"1-71","1",141.434815923914,0.233013309470152
"1-72","1",152.717213768306,0.334342791426934
"1-73","1",155.511149327558,0.394637008698737
"1-74","1",155.641538089518,0.394419568970989
"1-75","1",155.641538189518,0.394419562379881
"1-76","1",159.89645043758,0.399642674576171
"1-77","1",159.89645053758,0.399642686642437
"1-78","1",160.476973242501,0.429532501693757
"1-79","1",164.242251352082,0.513527957466067
"1-80","1",164.611153622583,0.499921977106169
"1-81","1",168.520975698303,0.511694979280037
"1-82","1",169.949186282196,0.555159049695249
"1-83","1",175.943071009852,0.327898370303046
"1-84","1",181.291939545951,0.103244351000285
"1-85","1",185.934838221133,0.0606700898379131
"1-86","1",191.738942148555,0.221442332072911
"1-87","1",192.111503823331,0.212838892179207
"1-88","1",193.441932234661,0.183402959828527
"1-89","1",194.320874335668,0.151693444610828
"1-90","1",201.464820504669,1.06684391046565
"1-91","1",201.58502212761,1.05315008309117
"1-92","1",203.217987999019,1.59808261096805
"1-93","1",210.329573744811,3.28956543580716
"1-94","1",216.76113093841,3.31637618876084
"1-95","1",216.76113103841,3.31637618705918
"1-96","1",216.92555274618,3.31348490716209
"1-97","1",217.154035437729,3.30915460299548
"1-98","1",217.865648117151,3.29336814959697
"1-99","1",217.918342773279,3.28880310854038
"1-100","1",219.251765647124,3.29037263627106
"1-101","1",220.707477767305,3.36319594749966
"1-102","1",221.15645433834,3.3816110176158
"1-103","1",222.586867969481,3.73634600670721
"1-104","1",222.586868069481,3.73634602274615
"1-105","1",224.647656497255,3.60870634576077
"1-106","1",226.550039439405,3.43536854492322
"1-107","1",229.217704736413,3.01372500436264
"1-108","1",231.140248443402,2.8120688480185
"1-109","1",231.140248543402,2.81206883836876
"1-110","1",234.71837066216,1.93849803153444
"1-111","1",242.856006180598,1.10994693095563
"1-112","1",250.701184918887,0.803979899531441
"1-113","1",250.745785013225,0.802457251200394
"1-114","1",254.557931310617,0.467238816239842
"1-115","1",259.649536418309,0.419642426231803
"1-116","1",260.181778079498,0.446675545262224
"1-117","1",260.754969801831,0.406420698936927
"1-118","1",267.601399059721,0.124711504395236
"1-119","1",267.601399159721,0.124711505477535
"1-120","1",268.500640525381,0.135651783915819
"1-121","1",270.135781695719,0.158861375250126
"1-122","1",271.916509176355,0.192413954110634
"1-123","1",273.437284910679,0.162030053388662
"1-124","1",278.136995696967,0.0440104668359709
"1-125","1",282.268879051197,0.0164680741345364
"1-126","1",288.650970960522,0.700612694533447
"1-127","1",296.208600837785,0.995515677162075
"1-128","1",296.208600937785,0.995515670570967
"1-129","1",296.280626993565,0.997913075460019
"1-130","1",296.638326234875,1.00865392996184
"1-131","1",300.446291597437,1.18844921915297
"1-132","1",305.872941474524,1.26434814218737
"1-133","1",306.871595274067,1.26766088561726
"1-134","1",313.858723416356,0.753093440761404
"1-135","1",318.362924532865,0.733963256257994
"1-136","1",329.192404705153,1.35954853119074
"1-137","1",329.326227176687,1.36262880006689
"1-138","1",330.294343399659,1.36405446354729
"1-139","1",334.322333999469,1.07681591715846
