QTL	Chromosome	cM	Trait
Growth1	1	442	GR56-70
Growth1	1	445	BW70
Growth1	1	450	GR42-56
Growth1	1	452	BW56
Growth1	1	469	GR0-14
Growth1	1	470	BW14
Growth4	3	61	BW14
Growth4	3	61	GR0-14
Growth6	4	31	GR42-56
Growth6	4	33	BW56
Growth6	4	32	GR56-70
Growth6	4	32	BW70
Growth6	4	34	GR14-28
Growth6	4	34	BW42
Growth6	4	34	BW28
Growth7	4	86	GR28-42
Growth9	7	54	GR14-28
Growth9	7	55	GR56-70
Growth9	7	55	BW28
Growth9	7	76	BW42
Growth9	7	77	GR28-42
Growth9	7	78	BW56
Growth9	7	78	BW70
Growth9	7	81	GR42-56
Growth12	20	46	BW28
Growth12	20	54	GR0-14
Growth12	20	54	BW42
Growth12	20	55	BW14
