"","chr","pos","lod"
"1-0","1",0,0.165877664876007
"1-1","1",1.00000002822922e-07,0.165877665177049
"1-2","1",2.00000005645844e-07,0.165877664583604
"1-3","1",3.00000008468766e-07,0.165877663788251
"1-4","1",0.63091088219995,0.181720225635218
"1-5","1",0.95816555866853,0.177825173380825
"1-6","1",0.958165658668532,0.177825172204848
"1-7","1",3.08908077014116,0.155057869587381
"1-8","1",4.95475300440512,0.138919512858592
"1-9","1",5.1832008071219,0.137181768098344
"1-10","1",5.29149949999816,0.136375627518191
"1-11","1",5.3438510042452,0.135989987514222
"1-12","1",6.96470378363615,0.12531420322739
"1-13","1",8.98701617030421,0.126394321106545
"1-14","1",9.87542098284789,0.127777689680897
"1-15","1",15.1765815664765,0.240775745121027
"1-16","1",21.455639505483,0.480794142219111
"1-17","1",22.0748456291395,0.479836356039868
"1-18","1",22.0748491831377,0.479836350080859
"1-19","1",22.1071495838843,0.479781973293484
"1-20","1",22.618574507536,0.47886639729677
"1-21","1",23.1415619155664,0.477827329681531
"1-22","1",25.0137590622656,0.381350847212616
"1-23","1",32.1742735275553,0.549925894673379
"1-24","1",44.5278384526093,0.527011153947115
"1-25","1",44.5278385526093,0.527011153896183
"1-26","1",44.5435374033531,0.52700315757329
"1-27","1",44.6382954750754,0.526953838951613
"1-28","1",45.440804754233,0.526462651150268
"1-29","1",46.3064293517806,0.525781412257857
"1-30","1",47.2029288062862,0.524904249395604
"1-31","1",52.4012070130832,0.53476552100301
"1-32","1",53.7956892742705,0.512721133936338
"1-33","1",53.7956893742705,0.512721132001388
"1-34","1",54.9833405724997,0.489792694644166
"1-35","1",58.2364140897801,0.427887221491801
"1-36","1",59.0825865182626,0.412089342590207
"1-37","1",59.4605592321351,0.405083781866324
"1-38","1",60.753358306524,0.379203236205285
"1-39","1",61.9951402604963,0.354892984999879
"1-40","1",62.2849006464447,0.349304542628033
"1-41","1",62.6228091594927,0.342829865155636
"1-42","1",62.7591242419905,0.340231107814816
"1-43","1",63.1480700628278,0.332858722421406
"1-44","1",63.9900036917698,0.317123849146355
"1-45","1",64.4580940380055,0.308514024643046
"1-46","1",69.2738582757444,0.27996323532625
"1-47","1",76.8199810503081,0.0653147013836133
"1-48","1",80.8668267406075,0.00487571518078767
"1-49","1",81.583015058808,0.0126461504733015
"1-50","1",84.236007682282,0.0659586407773531
"1-51","1",84.592868387488,0.0736193627058128
"1-52","1",91.790054752041,0.37641748806027
"1-53","1",95.2146055162925,0.517664430342847
"1-54","1",100.26799228292,1.8380680927753
"1-55","1",100.735486210261,2.0322993841537
"1-56","1",103.31574298222,2.75737113080322
"1-57","1",109.721886054659,2.07237304229739
"1-58","1",112.277940151775,1.39246196807881
"1-59","1",113.671603783268,1.08105436289907
"1-60","1",124.383726697966,0.302429037307775
"1-61","1",126.042217523063,0.333081073516951
"1-62","1",126.334380728611,0.325254867873355
"1-63","1",127.236875704134,0.301708573271299
"1-64","1",127.710531700423,0.289747545163664
"1-65","1",128.466572676775,0.271246705082376
"1-66","1",132.72654101607,0.181704931731474
"1-67","1",135.535769112517,0.137205132355575
"1-68","1",135.839226024482,0.133106324648452
"1-69","1",138.826075264339,0.14324041549753
"1-70","1",139.702512851049,0.145264213772862
"1-71","1",141.434815923914,0.109757615803119
"1-72","1",152.717213768306,0.950032920069589
"1-73","1",155.511149327558,1.04817383816362
"1-74","1",155.641538089518,1.04878403300881
"1-75","1",155.641538189518,1.04878403354132
"1-76","1",159.89645043758,0.889454106721132
"1-77","1",159.89645053758,0.889454109384133
"1-78","1",160.476973242501,0.918316650438101
"1-79","1",164.242251352082,1.10147936261274
"1-80","1",164.611153622583,1.1188190818707
"1-81","1",168.520975698303,1.29237856721056
"1-82","1",169.949186282196,1.34848173288719
"1-83","1",175.943071009852,1.04539946232217
"1-84","1",181.291939545951,0.436393886540372
"1-85","1",185.934838221133,1.13669597055332
"1-86","1",191.738942148555,3.21634200039989
"1-87","1",192.111503823331,3.24903875372956
"1-88","1",193.441932234661,3.36182896171022
"1-89","1",194.320874335668,3.43218884866246
"1-90","1",201.464820504669,4.95677364963967
"1-91","1",201.58502212761,4.65017938603705
"1-92","1",203.217987999019,4.68650660062394
"1-93","1",210.329573744811,4.25911940516926
"1-94","1",216.76113093841,2.3354734399727
"1-95","1",216.76113103841,2.33547342393467
"1-96","1",216.92555274618,2.3091008893789
"1-97","1",217.154035437729,2.27246701414106
"1-98","1",217.865648117151,2.15859883083658
"1-99","1",217.918342773279,2.14485964431879
"1-100","1",219.251765647124,1.86666197443947
"1-101","1",220.707477767305,1.74226412187909
"1-102","1",221.15645433834,1.70573701083094
"1-103","1",222.586867969481,1.58165410846959
"1-104","1",222.586868069481,1.58165410057336
"1-105","1",224.647656497255,1.44487492614689
"1-106","1",226.550039439405,1.31788304494739
"1-107","1",229.217704736413,1.14661353171277
"1-108","1",231.140248443402,1.03272591218456
"1-109","1",231.140248543402,1.03272590709685
"1-110","1",234.71837066216,0.645244730350896
"1-111","1",242.856006180598,0.26203620800834
"1-112","1",250.701184918887,1.22619026647681
"1-113","1",250.745785013225,1.22491866362225
"1-114","1",254.557931310617,1.2322840723341
"1-115","1",259.649536418309,0.917912114621686
"1-116","1",260.181778079498,0.961536842944042
"1-117","1",260.754969801831,0.93332409395407
"1-118","1",267.601399059721,0.903921181119586
"1-119","1",267.601399159721,0.903921179740337
"1-120","1",268.500640525381,0.890801003583874
"1-121","1",270.135781695719,0.863570321792395
"1-122","1",271.916509176355,0.830005078728391
"1-123","1",273.437284910679,0.769631241229945
"1-124","1",278.136995696967,0.489349695685632
"1-125","1",282.268879051197,0.256959506680232
"1-126","1",288.650970960522,0.30346846834891
"1-127","1",296.208600837785,1.3471916575395
"1-128","1",296.208600937785,1.34719165638262
"1-129","1",296.280626993565,1.34677647104854
"1-130","1",296.638326234875,1.34436529875757
"1-131","1",300.446291597437,1.18733430878819
"1-132","1",305.872941474524,1.0414011739058
"1-133","1",306.871595274067,1.03078877355892
"1-134","1",313.858723416356,0.720330604060564
"1-135","1",318.362924532865,0.885913219878603
"1-136","1",329.192404705153,1.59299801137149
"1-137","1",329.326227176687,1.59246890091617
"1-138","1",330.294343399659,1.5858031208154
"1-139","1",334.322333999469,1.68556421537505
"1-140","1",339.885604855318,1.93509264200247
"1-141","1",344.532178020034,1.40417427981083
"1-142","1",345.129514340631,1.04865681281535
"1-143","1",345.129514440631,1.04865673978838
"1-144","1",345.324439845323,1.04495807525791
"1-145","1",347.229885969739,0.983077099486309
"1-146","1",350.401351671441,0.565995268871575
"1-147","1",369.700357669775,0.344904217115527
"1-148","1",371.072724637205,0.640598996695644
"1-149","1",371.159440766748,0.644573264353767
"1-150","1",371.375036623137,0.654175830744862
"1-151","1",371.431540043249,0.656627588493848
"1-152","1",371.716335772876,0.668578783968769
"1-153","1",371.866867920213,0.674624518810106
"1-154","1",374.395629459417,0.848222939754123
"1-155","1",380.215588460527,1.3923608810851
"1-156","1",388.71391725336,2.46779231329037
"1-157","1",391.798191523426,2.69432706978023
"1-158","1",392.545170451276,2.74189743981879
"1-159","1",393.182895523757,2.77989483503188
"1-160","1",393.359206676719,2.78995789988494
"1-161","1",393.734862380577,2.81074359709646
"1-162","1",393.901008040166,2.82209517335423
"1-163","1",394.212568502746,2.84291534302474
"1-164","1",394.732740896094,2.87628493522107
"1-165","1",395.076216996728,2.88661474522451
"1-166","1",395.219795138867,2.89057238535224
"1-167","1",396.429311474476,2.91521104069534
"1-168","1",397.459173823187,2.9234652571804
"1-169","1",400.283987088671,2.82120359412147
"1-170","1",401.700994945382,2.8078759934192
"1-171","1",407.558457939333,2.85930502691735
"1-172","1",418.338777341221,2.15604130270412
"1-173","1",422.081615389492,1.93890290252239
"1-174","1",422.154918578579,1.9348312208308
"1-175","1",424.05188418303,1.86561500393827
