"","chr","pos","lod"
"1-0","1",0,0.415159898683669
"1-1","1",1.00000002822922e-07,0.415159897575904
"1-2","1",2.00000005645844e-07,0.415159898092497
"1-3","1",3.00000008468766e-07,0.415159897600461
"1-4","1",0.42600835550927,0.321519621036714
"1-5","1",1.11212396424252,0.28908110887005
"1-6","1",1.28485606123138,0.276192722001724
"1-7","1",3.36262443119462,0.274155741583854
"1-8","1",6.76097893792249,0.427052581566386
"1-9","1",6.98075659347148,0.383606402805526
"1-10","1",7.22997117737302,0.379574769731335
"1-11","1",7.22997127737303,0.379574769063765
"1-12","1",8.52174199505988,0.392825408425779
"1-13","1",10.8886487236288,0.499405778449727
"1-14","1",14.3308394862481,0.580899865044557
"1-15","1",16.1562359018279,0.508476348029944
"1-16","1",21.5026318335665,0.230287953694642
"1-17","1",22.0988120845678,0.217352116908842
"1-18","1",22.0988121845678,0.21735211700161
"1-19","1",22.7229015148714,0.241251266327708
"1-20","1",22.7229016148714,0.241251264487801
"1-21","1",24.4115116627634,0.192602023933432
"1-22","1",28.9496024886586,0.341708076606665
"1-23","1",30.8626630671446,0.432700867910171
"1-28","1",47.2765009911828,0.614646018726489
"1-29","1",48.2031581885385,0.561960631224792
"1-30","1",51.6107413268818,0.691683595896393
"1-31","1",56.1481246449527,0.996550010751889
"1-32","1",57.3510790883908,1.14010390645944
"1-33","1",57.5102005370994,1.14914854849667
"1-34","1",59.6754514244671,1.26020314273319
"1-35","1",63.9447356041596,1.36202231075094
"1-36","1",66.1270604584301,1.44053825954688
"1-37","1",66.9648212042594,1.52251758019975
"1-38","1",68.2653257591839,1.69551835433867
"1-40","1",71.4482177543968,1.60878688058619
"1-41","1",71.8834907417243,1.5853690604572
"1-42","1",71.8834908417243,1.58536905458823
"1-43","1",72.3433124760765,1.71626061193638
"1-44","1",74.2981854569232,1.95023362813845
"1-45","1",75.2110112422265,1.97509654016631
"1-46","1",77.9962609608397,2.92423306203636
"1-47","1",84.5766742030614,4.62895482400745
"1-48","1",88.2092969448608,5.80123607311725
"1-49","1",91.5481890732347,6.10363983341085
"1-50","1",93.7546424862079,6.6372498115179
"1-51","1",98.5583138298425,6.18841089908892
"1-52","1",102.98631392877,5.53030000158105
"1-53","1",104.85042519686,5.63245131167332
"1-54","1",110.943737876056,6.18463321105992
"1-55","1",111.073339468137,6.23925199888436
"1-56","1",114.652001569413,6.54731438006002
"1-57","1",118.104095320608,5.77183895635244
"1-58","1",124.601597589998,2.81568155407058
"1-59","1",124.863957408614,2.71628998096912
"1-60","1",126.714092678518,2.45377458016083
"1-61","1",133.162995094856,1.56038828645706
"1-62","1",133.958963735888,1.40442453404376
"1-63","1",135.563308482773,1.21850098010145
"1-64","1",135.563308582773,1.21850096965227
"1-65","1",137.651716378472,0.918281992630909
"1-66","1",143.361733552818,0.167560855015836
"1-67","1",149.37076079022,0.0843959845515201
"1-68","1",150.734610160305,0.0839805471259751
"1-69","1",155.51369306698,0.327168339013042
"1-70","1",157.275871961022,0.525485205013865
"1-71","1",159.820929995882,0.788628491328382
"1-72","1",166.087363125726,1.77903414072534
"1-73","1",167.827291703876,2.35639026272747
"1-74","1",168.454419224725,2.40120499437307
"1-75","1",168.454419324725,2.40120499784007
"1-76","1",173.388933762717,2.08587555392842
"1-77","1",173.388933862717,2.08587556662224
