"","chr","pos","lod"
"1-0","1",0,0.0286880291853322
"1-1","1",1.00000002822922e-07,0.0286880292635487
"1-2","1",2.00000005645844e-07,0.0286880291794205
"1-3","1",3.00000008468766e-07,0.0286880290541376
"1-4","1",0.63091088219995,0.0305022635589012
"1-5","1",0.95816555866853,0.0307397672902425
"1-6","1",0.958165658668532,0.0307397673618652
"1-7","1",3.08908077014116,0.0322248343795764
"1-8","1",4.95475300440512,0.0332327931362215
"1-9","1",5.1832008071219,0.0331698500774564
"1-10","1",5.29149949999816,0.0328369731680596
"1-11","1",5.3438510042452,0.0327366054227696
"1-12","1",6.96470378363615,0.029491052739786
"1-13","1",8.98701617030421,0.0251599296836957
"1-14","1",9.87542098284789,0.0166646605969163
"1-15","1",15.1765815664765,0.0220537460179457
"1-16","1",21.455639505483,0.169445085005464
"1-17","1",22.0748456291395,0.181058958301492
"1-18","1",22.0748491831377,0.181059027924221
"1-19","1",22.1071495838843,0.181693230047586
"1-20","1",22.618574507536,0.192114382569116
"1-21","1",23.1415619155664,0.203515447776226
"1-22","1",25.0137590622656,0.265003329064484
"1-23","1",32.1742735275553,0.419312167648968
"1-24","1",44.5278384526093,0.441143272303634
"1-25","1",44.5278385526093,0.441143270333441
"1-26","1",44.5435374033531,0.440833901291853
"1-27","1",44.6382954750754,0.438960654711082
"1-28","1",45.440804754233,0.422705569643085
"1-29","1",46.3064293517806,0.404451188352141
"1-30","1",47.2029288062862,0.375009219009144
"1-31","1",52.4012070130832,0.378793531755036
"1-32","1",53.7956892742705,0.43420538161763
"1-33","1",53.7956893742705,0.434205382714936
"1-34","1",54.9833405724997,0.448482712612531
"1-35","1",58.2364140897801,0.497922921965028
"1-36","1",59.0825865182626,0.506049612885818
"1-37","1",59.4605592321351,0.510866434934542
"1-38","1",60.753358306524,0.532654659853961
"1-39","1",61.9951402604963,0.560637408836328
"1-40","1",62.2849006464447,0.568041323729176
"1-41","1",62.6228091594927,0.577049738117921
"1-42","1",62.7591242419905,0.580792177195235
