"","chr","pos","lod"
"1-0","1",0,0.0970789384937234
"1-1","1",5,0.0983134823418368
"1-2","1",10,0.0971650852588937
"1-3","1",15,0.0937346910232009
"1-4","1",20,0.0952676133929344
"1-5","1",25,0.102606572831064
"1-6","1",30,0.165172153516323
"1-7","1",35,0.239375260733141
"1-8","1",40,0.277844389476741
"1-9","1",45,0.292615255661076
"1-10","1",50,0.295824229544451
"1-11","1",55,0.255836074336912
"1-12","1",60,0.205211954109473
"1-13","1",65,0.169527759033372
"1-14","1",70,0.296599668276031
"1-15","1",75,0.202636800404434
"1-16","1",80,0.0354628752174904
"1-17","1",85,0.0385184994647716
"1-18","1",90,0.0555476943263784
"1-19","1",95,0.077733416648698
"1-20","1",100,0.119036314936238
"1-21","1",105,0.164714469830869
"1-22","1",110,0.108645049667757
"1-23","1",115,0.315157989798536
"1-24","1",120,0.986704170327357
"1-25","1",125,1.03142134740847
"1-26","1",130,1.01881193455665
"1-27","1",135,0.950646260262147
"1-28","1",140,0.779900110132075
"1-29","1",145,0.58419258453614
"1-30","1",150,0.814589386884109
"1-31","1",155,1.00930698675984
"1-32","1",160,1.2766345317832
"1-33","1",165,1.313277238718
"1-34","1",170,1.64599530503801
"1-35","1",175,2.08959513541231
"1-36","1",180,2.11922731393861
"1-37","1",185,2.24180708940003
"1-38","1",190,2.44286279209518
"1-39","1",195,2.5674874673241
"1-40","1",200,2.5329252610627
"1-41","1",205,2.53408486652734
"1-42","1",210,2.67315277425951
"1-43","1",215,2.75402623022092
"1-44","1",220,2.95688045455427
"1-45","1",225,3.16415455093374
"1-46","1",230,4.89548716854733
"1-47","1",235,6.41112756736766
"1-48","1",240,7.74171260618459
"1-49","1",245,8.448379139807
"1-50","1",250,8.83327730058409
"1-51","1",255,8.32695837995198
"1-52","1",260,8.25312201637462
"1-53","1",265,7.25984036704722
"1-54","1",270,7.7359511780287
"1-55","1",275,7.94415068318995
"1-56","1",280,7.10497473763826
"1-57","1",285,5.06424277886435
"1-58","1",290,2.64053730780142
"1-59","1",295,1.0324788431717
"1-60","1",300,0.252260927696625
"1-61","1",305,0.107735066176247
"1-62","1",310,0.065754116165408
"1-63","1",315,0.0231024152490136
"1-64","1",320,0.0187057915500191
"1-65","1",325,0.00444700603293313
"1-66","1",330,0.0422491104291112
"1-67","1",335,0.117308806389701
"1-68","1",340,0.216823212651434
"1-69","1",345,0.451078214227891
"1-70","1",350,0.767645249983616
"1-71","1",355,0.625752485952034
"1-72","1",360,0.783594106827877
"1-73","1",365,1.63993348599979
"1-74","1",370,1.99594169921329
"1-75","1",375,2.10195941429083
"1-76","1",380,2.44654018791516
"1-77","1",385,2.93996121319287
"1-78","1",390,3.334298306243
"1-79","1",395,3.56191675809168
"1-80","1",400,2.39439196683816
"1-81","1",405,1.51281158308848
"1-82","1",410,0.906828184521146
"1-83","1",415,0.426663165162608
"1-84","1",420,0.161562711960869
"1-85","1",425,0.035510093342964
"1-86","1",430,0.0219284969261935
"1-87","1",435,0.00655201468907762
"1-88","1",440,0.0169979831571254
"1-89","1",445,0.0516586765988905
"1-90","1",450,0.370504058850202
"1-91","1",455,0.95618980927793
"1-92","1",460,1.74163093534844
"1-93","1",465,2.07823499284132
"1-94","1",470,1.85885842854259
"1-95","1",475,1.94901052067689
"1-96","1",480,1.95002520855087
"1-97","1",485,1.92251891741398
"1-98","1",490,1.88599133623757
"1-99","1",495,1.83887085286005
"1-100","1",500,1.49774056448587
"1-101","1",505,1.28942841101525
"1-102","1",510,1.53091965429667
"1-103","1",515,1.61898250995182
"1-104","1",520,1.85662189560753
"1-105","1",525,2.17676231238147
"1-106","1",530,2.25600342257712
"1-107","1",535,2.26603858263661
"1-108","1",540,2.25306866194114
"1-109","1",545,2.25519319835621
"1-110","1",550,1.25662666207791
"1-111","1",555,0.243996671220884
"1-112","1",560,0.108992525980284
"1-113","1",565,0.288812533903183
"1-114","1",570,0.52704383407945
"1-115","1",575,0.725170613157388
"1-116","1",580,0.835341117388452
"1-117","1",585,0.680515086980449
"1-118","1",590,0.404183628003011
"1-119","1",595,0.317234945881864
"1-120","1",600,0.317879004425777
"1-121","1",605,0.456938330162302
"1-122","1",610,0.660901133949665
"1-123","1",615,0.73945887237096
"1-124","1",620,0.748501620433672
"1-125","1",625,0.373617112220018
"1-126","1",630,0.084894612291464
"1-127","1",635,0.127195414585003
"1-128","1",640,0.103450280374091
"1-129","1",645,0.128824544628515
"1-130","1",650,0.155840951809296
"1-131","1",655,0.232704101208583
"1-132","1",660,0.44691679006246
"1-133","1",665,0.823768943168034
"1-134","1",670,1.06875334223878
"1-135","1",675,1.08980866755337
"1-136","1",680,1.23038303793328
"1-137","1",685,1.49850718319431
"1-138","1",690,1.73344809644368
"1-139","1",695,1.18764345862655
"1-140","1",700,0.68301478655485
"1-141","1",705,0.346356078734971
"1-142","1",710,0.288983688587905
"1-143","1",715,0.221136334923358
"1-144","1",720,0.150710114472531
"1-145","1",725,0.071045040485842
"1-146","1",730,0.187394965500062
"1-147","1",735,1.07897740518092
"1-148","1",740,1.58721053369482
"1-149","1",745,1.73276131717648
"1-150","1",750,1.85479371365909
"1-151","1",755,2.030744570553
"1-152","1",760,2.21866911625148
"1-153","1",765,2.34258216447415
"1-154","1",770,2.60225196095962
"1-155","1",775,2.58691733145497
"1-156","1",780,3.48559659646162
"1-157","1",785,3.98236556224037
"1-158","1",790,4.3782703247507
"1-159","1",795,4.63600704501005
"1-160","1",800,4.92415060735584
"1-161","1",805,5.00945344436514
"1-162","1",810,5.16559676061843
"1-163","1",815,5.240874754174
"1-164","1",820,5.67576762048884
"1-165","1",825,5.81299224863869
"1-166","1",830,6.05119501738227
"1-167","1",835,6.21061399507562
"1-168","1",840,6.23555256668442
"1-169","1",845,6.7010584014497
"1-170","1",850,6.99545977561502
"1-171","1",855,5.843468588424
"1-172","1",860,4.43633354198028
"1-173","1",865,4.39798075967701
"1-174","1",870,4.4984902054166
"1-175","1",875,4.63402531370775
"1-176","1",880,4.45698900153184
"1-177","1",885,3.58634900778452
"1-178","1",890,2.60802613793567
"1-179","1",895,2.21721366951897
"1-180","1",900,1.78859738606843
"1-181","1",905,1.43857344956632
"1-182","1",910,1.07084332863087
"1-183","1",915,0.809015105443905
"1-184","1",920,0.761212430747037
"1-185","1",925,0.899999576395203
"1-186","1",930,0.992948550983783
"1-187","1",935,0.856160532413924
"1-188","1",940,0.575108912709766
"1-189","1",945,0.220308777230457
"1-190","1",950,0.0248751309118234
"1-191","1",955,0.379880284213868
"1-192","1",960,0.540742547129412
"1-193","1",965,0.588218326618517
"1-194","1",970,0.623613061596188
"1-195","1",975,0.618446057338588
"1-196","1",980,0.660680596454768
"1-197","1",985,0.694069072435013
"1-198","1",990,0.757983952198629
"2-0","2",0,1.7333556868507
"2-1","2",5,1.70682295424922
"2-2","2",10,1.65089622725827
"2-3","2",15,1.64456443713243
"2-4","2",20,1.58871108797393
"2-5","2",25,1.06887593843021
"2-6","2",30,0.687493692850694
"2-7","2",35,0.598726098211046
"2-8","2",40,0.44854641841448
"2-9","2",45,0.379504267120865
"2-10","2",50,0.304832305340824
"2-11","2",55,0.297355544013044
"2-12","2",60,0.318841738797346
"2-13","2",65,0.430564687538208
"2-14","2",70,0.623914662475727
"2-15","2",75,0.310783587137848
"2-16","2",80,0.0433236138705979
"2-17","2",85,0.0629736674345622
"2-18","2",90,0.15320264766342
"2-19","2",95,0.275362361919179
"2-20","2",100,0.453250288193885
"2-21","2",105,0.997071426007096
"2-22","2",110,1.44038398976772
"2-23","2",115,1.44023457588264
"2-24","2",120,0.973212199191039
"2-25","2",125,0.712139019182359
"2-26","2",130,0.815542443469894
"2-27","2",135,0.811931540061778
"2-28","2",140,0.627326515392269
"2-29","2",145,0.387377317818391
"2-30","2",150,0.357453588467251
"2-31","2",155,0.226310133333754
"2-32","2",160,0.227060647404869
"2-33","2",165,0.295821437772247
"2-34","2",170,0.110394091392664
"2-35","2",175,0.142823021815275
"2-36","2",180,0.174442736024503
"2-37","2",185,0.151414682632094
"2-38","2",190,0.058497279374933
"2-39","2",195,0.264021679127836
"2-40","2",200,0.727772619617099
"2-41","2",205,0.985574887525217
"2-42","2",210,1.22150244375916
"2-43","2",215,1.81898841845396
"2-44","2",220,1.56373677774172
"2-45","2",225,0.896155298843951
"2-46","2",230,0.757787936921886
"2-47","2",235,0.670370815012575
"2-48","2",240,0.713454055983675
"2-49","2",245,0.620593930763789
"2-50","2",250,0.547474125201916
"2-51","2",255,0.431932930969197
"2-52","2",260,0.357481457271206
"2-53","2",265,0.279973309452544
"2-54","2",270,0.181884179370172
"2-55","2",275,0.205267907946109
"2-56","2",280,0.125289435138257
"2-57","2",285,0.269468942815365
"2-58","2",290,0.378055314778976
"2-59","2",295,0.523590802074978
"2-60","2",300,1.00111026730883
"2-61","2",305,1.48963678571272
"2-62","2",310,1.67182889095784
"2-63","2",315,1.37155046791304
"2-64","2",320,1.12601327103039
"2-65","2",325,0.633962167905338
"2-66","2",330,0.549927685815419
"2-67","2",335,0.455056399425303
"2-68","2",340,0.293433714079583
"2-69","2",345,0.225982766176458
"2-70","2",350,0.232229664552506
"2-71","2",355,0.236830029109115
"2-72","2",360,0.333118132044547
"2-73","2",365,0.321151310874484
"2-74","2",370,0.348601002107898
"2-75","2",375,0.470185832287825
"2-76","2",380,0.646959743246043
"2-77","2",385,0.656085230797544
"2-78","2",390,0.719593812989842
"2-79","2",395,0.773722582025584
"2-80","2",400,1.02008991800722
"2-81","2",405,1.23009236859434
"2-82","2",410,1.20880025403494
"2-83","2",415,1.3891724975274
"2-84","2",420,1.68793325672414
"2-85","2",425,1.77749646921984
"2-86","2",430,1.83744358629156
"2-87","2",435,1.94730452965814
"2-88","2",440,1.95732263002355
"2-89","2",445,1.86938180159814
"2-90","2",450,1.8951137813383
"2-91","2",455,1.87146011580444
"2-92","2",460,1.95353128854367
"2-93","2",465,2.38231935545082
"2-94","2",470,2.54113446800511
"2-95","2",475,2.58542286630654
"2-96","2",480,2.66308780837426
"2-97","2",485,2.55084704426372
"2-98","2",490,2.49299088307089
"2-99","2",495,2.63259568549438
"2-100","2",500,1.9723836141311
"2-101","2",505,1.56181952584302
"2-102","2",510,1.3578495651127
"2-103","2",515,1.35725349684253
"2-104","2",520,1.40678321472478
"2-105","2",525,1.20957987191832
"2-106","2",530,1.08994327642176
"2-107","2",535,1.27920117906433
"2-108","2",540,0.87199175922251
"2-109","2",545,0.546072028959316
"2-110","2",550,0.651781460643178
"2-111","2",555,0.451512964809808
"2-112","2",560,0.443432968095294
"2-113","2",565,0.443572644469896
"2-114","2",570,0.313201112840034
"2-115","2",575,0.328578486240076
"2-116","2",580,0.545265514912899
"2-117","2",585,0.618262762121958
"2-118","2",590,0.592857665107658
"2-119","2",595,0.494771517091067
"2-120","2",600,0.453691172066101
"2-121","2",605,0.435633297807726
"2-122","2",610,0.504034857658553
"2-123","2",615,0.533748464675227
"2-124","2",620,0.583503839841796
"2-125","2",625,0.554295665393511
"2-126","2",630,0.847071949701785
"2-127","2",635,1.26025052057594
"2-128","2",640,1.7200974038642
"2-129","2",645,1.40744675476162
"2-130","2",650,1.20582120800464
"2-131","2",655,0.829467292340269
"2-132","2",660,0.721253630099454
"2-133","2",665,0.908718723119819
"2-134","2",670,1.06558887667961
"2-135","2",675,1.37134060349672
"2-136","2",680,2.05969357602953
"2-137","2",685,2.69326374009324
"2-138","2",690,2.97428114095783
"2-139","2",695,3.06206892212322
"2-140","2",700,2.73528341604469
"2-141","2",705,2.01009979211085
"2-142","2",710,1.37628878161559
"2-143","2",715,1.10177534865034
"2-144","2",720,1.02333290289243
"2-145","2",725,1.02258687176254
"2-146","2",730,0.976992249294199
"2-147","2",735,0.954790587888056
"2-148","2",740,0.913569538575757
"2-149","2",745,0.907449989841552
"2-150","2",750,0.875306879410346
"3-0","3",0,0.742314309674839
"3-1","3",5,0.758025290209844
"3-2","3",10,0.769962964461229
"3-3","3",15,0.730246780060043
"3-4","3",20,0.911525640149193
"3-5","3",25,0.824381828491823
"3-6","3",30,0.764230001912438
"3-7","3",35,0.867998761787021
"3-8","3",40,0.852798682690263
"3-9","3",45,0.843902898008309
"3-10","3",50,0.744874943929972
"3-11","3",55,0.674863188658492
"3-12","3",60,0.356959882312367
"3-13","3",65,0.286594020832126
"3-14","3",70,0.369528528366573
"3-15","3",75,0.580012875834655
"3-16","3",80,0.562378913282373
"3-17","3",85,0.696319134545774
"3-18","3",90,0.811652693158976
"3-19","3",95,0.721147702386588
"3-20","3",100,0.626616996500161
"3-21","3",105,0.612581453842722
"3-22","3",110,0.491537311230786
"3-23","3",115,0.410337888126378
"3-24","3",120,0.424245960701228
"3-25","3",125,0.66447786934441
"3-26","3",130,0.943305045351735
"3-27","3",135,0.970863744132657
"3-28","3",140,1.19924457035631
"3-29","3",145,1.75509182427049
"3-30","3",150,1.97449419324221
"3-31","3",155,2.04944048273501
"3-32","3",160,1.88253846615589
"3-33","3",165,1.992787459385
"3-34","3",170,2.11750758771268
"3-35","3",175,2.47718943390282
"3-36","3",180,2.11494042737286
"3-37","3",185,1.88391389313983
"3-38","3",190,1.72959169734713
"3-39","3",195,1.95263043482009
"3-40","3",200,2.09779309252917
"3-41","3",205,2.29855292520733
"3-42","3",210,2.02082364606213
"3-43","3",215,1.64964754876564
"3-44","3",220,1.55525755762937
"3-45","3",225,1.35525241071082
"3-46","3",230,1.25496273574754
"3-47","3",235,1.03138987262719
"3-48","3",240,0.637654431448027
"3-49","3",245,0.515403290457471
"3-50","3",250,0.703579924971564
"3-51","3",255,0.615849208976215
"3-52","3",260,0.577851668918811
"3-53","3",265,0.424900555863132
"3-54","3",270,0.612457317309236
"3-55","3",275,0.442818032059222
"3-56","3",280,0.334416115982094
"3-57","3",285,0.286309140679805
"3-58","3",290,0.234941640863326
"3-59","3",295,0.205055128926688
"3-60","3",300,0.136704435331922
