Chromosome	Mb	cM	Marker
1	0.3	0	RBL438
1	0.7	36	rs14080307
1	2.4	41.7	rs13824562
1	6.1	47.5	rs13621730
1	13.8	57.1	rs14795085
1	15.9	63.4	rs14792587
1	17.2	68.6	RBL1258
1	24.6	78.1	rs13837741
1	29.1	89.9	rs13842499
1	31.4	92.3	MCW0254
1	34.9	101.1	rs13847756
1	38	115.4	rs13851434
1	45.1	127.1	rs14816632
1	47.8	135.1	rs14818658
1	52.5	149.3	rs13865452
1	55.3	159.7	LEI0146
1	57.9	167.5	rs15276085
1	58.6	170.1	rs14828994
1	61.8	176.3	rs14832321
1	65.7	187.9	MCW0018
1	68.6	196	rs13880460
1	71.5	210.5	rs13883708
1	74	218.2	rs13819552
1	74	218.6	rs13819560
1	74.2	219	RBL2228
1	74.3	219.2	RBL4547
1	9.9	220.3	rs13834451
1	75	221.3	rs13997062
1	79	222.9	MCW0058
1	79.5	223.7	LEI0071
1	80.9	230.5	rs13887893
1	81.4	230.8	rs14693408
1	82.3	235.1	rs15318252
1	86.1	250.6	rs13583965
1	87.6	255.3	rs13646704
1	91.6	266.7	ADL0367
1	92.1	268.1	rs15340573
1	na	273.9	BU-1-1-85821084
1	97.1	280.6	LEI0108
1	99.6	282.9	rs15353627
1	104.2	286.9	rs14864919
1	107.8	291.5	rs13914871
1	110.5	301.1	rs13918284
1	111.3	302.4	MCW0200
1	113.5	310.4	rs13921245
1	116.9	323.6	rs14876047
1	122.8	333.8	rs15402046
1	124.2	337.6	ADL0353
1	128.7	351.5	rs14884222
1	129.1	352.7	RBL3441
1	129.3	353.5	MCW0036
1	130.8	354.3	RBL1448
1	134.4	360.4	rs14887388
1	138	372	rs13625427
1	143.7	387.4	LEI0107
1	147.8	391	rs13951254
1	150.1	401.1	rs13954000
1	156.9	407	rs13958072
1	157.1	407.7	rs14905876
1	158.4	410.6	LEI0079
1	169.1	426.3	LEI0162
1	171.7	434.6	ADL0245
1	171.9	435.3	rs13552040
1	175.2	448	rs15502284
1	177.7	455.4	rs14920831
1	181.1	466.8	rs15516954
1	182.7	473.1	rs13982336
1	na	481.1	IAP1-1-174542266
1	189.3	483.5	rs14931269
1	191.8	490.5	LEI0134
1	193.3	493.2	rs14935422
1	195.1	494.6	RBL2401
1	197.6	497.1	GCT0001
2	2	0	rs15054320
2	4.4	14.8	rs13534858
2	7	25.7	rs14134143
2	8.8	30	rs15884716
2	11.6	35.2	rs14139143
2	15.3	39	ADL0190
2	15.7	39.6	rs14143285
2	19.4	47.6	MCW0247
2	19.4	48	rs15910200
2	24.1	60.3	rs15075023
2	26.9	67.2	rs15077078
2	32.4	81.5	rs15081191
2	35	90	rs15083693
2	37.9	95.2	MCW0063
2	41.2	103.1	rs13670674
2	43.4	110.7	rs13671945
2	47.9	127.5	rs14178920
2	50.4	132.4	rs15099222
2	56.1	134.1	MCW0062
2	59.6	143.4	MCW0293
2	60.5	146.6	rs15105085
2	63.4	155.2	rs15107772
2	65.5	160.4	rs14196021
2	68.9	177.1	rs14200463
2	71	183.2	LEI0096
2	77.5	186.2	rs16039935
2	80.7	191.7	ADL0157
2	86.6	199.9	MCW0179
2	87.2	201.7	MCW0087
2	91.2	207.7	rs15126683
2	93.7	216.4	rs14219471
2	96.1	220.1	UMA02
2	100	224.4	RBL4114
2	101.6	228.2	LEI0147
2	102.2	229.7	RBL3577
2	102.2	229.9	RBL3422
2	103.3	231.4	rs14225365
2	108	242.8	rs16092012
2	111.1	251	RBL8
2	112.1	253.2	rs14232457
2	112.8	253.9	RBL2593
2	114.7	257.1	rs13796585
2	114.9	257.3	MCW0234
2	117.4	263	rs16107541
2	119	265.5	rs16108913
2	122.4	273.3	rs14240558
2	125	276.2	rs14242430
2	129.5	286.4	rs13731505
2	131.9	296.2	MCW0245
2	na	302.2	RBL3465
2	135.5	307.3	rs16136501
2	139.6	311.4	LEI0070
2	143.8	319.6	rs13762257
2	145.8	323.2	MCW0320
2	149.7	327.4	rs14260168
2	153.3	330.8	LEI0031
2	153.7	331.7	MCW0311
2	154.4	332.6	rs13758611
3	2.4	0	rs14308203
3	4.6	14.9	rs14310908
3	6.6	23	MCW0169
3	9.5	37.3	rs16222521
3	15	50.5	rs14084016
3	18.8	60.7	rs13717180
3	24	77.5	rs14326182
3	24.2	78.5	MCW0222
3	27.8	86	rs14330022
3	33.7	105.1	rs14336675
3	35.5	109.1	rs15321683
3	37.6	112.8	ADL0155
3	37.8	113.1	rs14341292
3	42.4	127	rs13675715
3	45.2	140	ADL0371
3	51.6	154.2	MCW0004
3	57.1	163.7	rs16281414
3	60.2	172.3	RBL2668
3	79.8	207.2	MCW0224
3	83.4	216.5	ADL0024
3	87.9	224.1	rs13696669
3	90.5	227.6	rs14391415
3	92.9	231.1	MCW0207
3	96.8	238.7	rs14397663
3	100.1	248.6	rs14400934
3	103.8	255.2	LEI0065
3	103.9	256.6	rs13702405
3	107.3	262.8	rs14408135
4	1	0	rs15471980
4	1.4	1.5	ADL0143
4	3.5	14.3	ADL0317
4	4.1	20.3	rs14421644
4	6.8	30.7	rs15484517
4	9.4	33.7	rs13643096
4	11.4	40.8	rs14428592
4	13.5	49	rs15500313
4	17.7	64.2	rs14435605
4	17.9	65.5	ADL0145
4	19.2	67	MCW0251
4	24.6	68.4	rs14438666
4	29.5	74.2	rs15522441
4	33.1	86.3	rs14446940
4	37	97.4	rs15542429
4	38.1	98	rs15544037
4	39.7	102.5	MCW0091
4	40.9	106.1	rs15549573
4	44	110.6	rs15554707
4	44.7	111.4	LEI0125
4	47.8	119.7	rs14462677
4	55	140.3	rs15581865
4	62.1	151.4	LEI0076
4	63.2	153.4	rs14479812
4	67.9	161.9	rs15607084
4	71.6	172.7	RBL1352
4	71.6	173	rs14488074
4	na	173.7	LEI0148
4	79.5	182.4	rs14491521
4	81.1	185.3	rs13664708
4	81.5	186.8	MCW0098
4	84.6	192.3	rs13666021
4	85.5	193.8	rs16444662
4	85.9	195.3	LEI0085
4	88.4	204.5	LEI0073
4	91.7	210.8	rs15643977
5	14.4	33.1	rs13757471
5	15.9	39.1	MCW0193
5	17.3	43.2	RBL1369
5	17.7	43.8	RBL2307
5	18.5	48	rs15674552
5	19.6	50.8	rs14693539
5	21.6	55.6	MCW0038
5	24.4	61.8	rs15679760
5	29.8	75.4	rs13584119
5	31.9	81.2	MCW0078
5	36.3	84.7	rs13585490
5	41	102.3	rs13586869
5	44.2	106	MCW0029
5	44.7	106	rs16498806
5	46.5	108.7	LEI0149
5	51.4	120.5	MCW0081
5	56.1	136.3	rs16514663
5	59.1	151.1	rs15743161
5	61.3	164.1	rs16522750
6	4	0	LEI0192
6	4	0.7	MCW0118
6	5	6.7	rs15758001
6	8.5	16.5	rs16537104
6	11.7	21.1	rs15778112
6	12.9	23.2	rs15780532
6	16.6	24.7	MCW0250
6	25.4	44.5	rs15800133
6	28.6	52.5	rs14588347
6	29.7	56.2	ADL0377
6	31.3	60.3	rs14591306
6	31.3	60.9	LEI0196
6	33.6	69.7	rs14593897
7	1.5	0	rs14598438
7	3.6	16.1	rs13739720
7	5.4	31	rs13740451
7	9	35.6	rs15837786
7	11.3	36.6	rs13783972
7	11.9	40	MCW0120
7	13.1	44.5	rs14608276
7	17.2	54.7	rs15852323
7	20.6	61.5	rs15856536
7	24.6	71.7	rs14616506
7	25.3	74.3	ADL0279
7	28	80.4	rs15870814
7	29.7	87.6	MCW0236
7	29.8	88	rs16604163
7	33.3	97.8	rs15882678
7	35.8	111.8	rs16612776
7	38	120.2	ADL0169
8	7	25.7	MCW0305
8	14.6	36	rs14642627
8	22.3	71.3	rs14650356
8	24.3	79.9	rs14652607
8	25.9	83.1	rs16644389
8	27.4	90.1	rs14655901
8	28.8	97.2	ADL0172
8	29.2	98.7	rs15940094
8	29.9	100.3	ADL0278
9	1.7	0	rs16650965
9	4.9	53.2	MCW0024
9	5.4	59	rs14669284
9	8.3	65.9	rs15957507
9	10.6	69.5	rs14662996
9	13.7	73	MCW0135
9	15.1	85.6	rs14674285
9	16.9	100.3	rs14676340
9	20.6	107.9	rs14678700
9	22.6	121.4	ADL0219
9	24.8	135.8	MCW0134
10	0.7	0	MCW0228
10	1.6	15	rs13999825
10	4.1	31.7	ADL0209
10	6.7	38.8	MCW0194
10	7.4	40	rs14003423
10	9.6	41.2	rs13799452
10	9.6	41.9	MCW0067
10	12.6	46.2	rs14006050
10	12.7	46.5	ADL0272
10	15.2	59	rs14009067
10	16.5	65	ADL0106
10	18.9	75	rs15589031
10	19.4	77.1	ADL0158
10	21.4	84.3	rs14013921
11	0.9	0	rs14957451
11	1.9	11.5	rs14958678
11	5.2	14.1	rs14019836
11	5.7	15.2	ADL0123
11	na	27.6	rs14022357
11	10.9	33.9	rs14963832
11	13.8	38.1	rs14025658
11	16.9	45.5	RBL3085
11	17.4	48.7	ADL0308
11	18.7	52.9	rs14966910
11	20.6	69.5	ABR0037
12	0.7	0	rs14030286
12	9.2	44	rs14039242
12	12.3	54.1	ADL0044
12	12.4	54.5	LEI0099
12	14.7	63.4	rs15662367
12	17.3	76.1	rs14046447
12	18.7	81.6	rs14048107
13	0.7	0	rs15675703
13	5.2	30.2	rs14990028
13	6.9	32	rs14051703
13	8.1	34	ADL0147
13	8.3	35	rs14994099
13	8.9	36.8	RBL3916
13	9.4	38.9	ROS00325
13	10.4	42	MCW0213
13	14.4	59	MCW0315
13	14.9	60.9	rs14998975
13	17	70.6	rs14064615
13	17.2	71.7	ADL0225
13	18.4	73.9	rs15000764
14	0.1	0	ADL0118
14	0.3	0.1	rs13530010
14	1.5	0.9	MCW0296
14	5.1	28.3	rs13531951
14	6.8	34.4	rs15008964
14	8.9	37.1	rs15010436
14	14.7	74.5	LEI0066
15	1.9	0	rs15763765
15	2.8	3.9	LEI0083
15	4	5.7	rs15019494
15	5.7	11.6	ADL0039
15	6.4	15	rs15021350
15	8.2	25.4	rs14092594
15	9.7	31	rs15024160
15	10.8	40	MCW0211
15	11.9	53.3	rs15026117
16	0.1	0	rs15788101
16	0.1	0	rs15026773
16	0.1	0	rs15026791
17	0.7	0	ADL0199
17	1.7	4.4	rs14104304
17	3.5	19.9	rs13734134
17	5.7	33.9	ADL0149
17	5.9	35.8	rs15031008
17	8.1	48.5	rs15029104
17	9.6	54.6	rs15027463
17	10.1	54.7	rs15027195
18	5	32.9	ADL0184
18	8	41.3	rs14113801
18	9	45.1	rs15833225
19	0.9	0	rs14115711
19	1.5	7.3	rs14116385
19	3.3	22.8	rs14118674
19	4.3	27.7	rs15047231
19	5.6	34.4	rs15048343
19	6.1	37.3	rs15848432
19	7.2	40.6	rs14122543
19	9.6	46.6	rs14124079
20	0.4	0	MCW0119
20	0.9	7.3	rs15169246
20	3.1	28.4	ADL0125
20	3.4	32.4	rs15171181
20	4.7	37.9	rs14272231
20	6.2	43.8	rs15173767
20	7.1	45.3	rs14274909
20	8.1	48.3	rs14276041
20	10.8	65	rs14278769
20	11.9	68.6	rs13635174
20	12	68.8	MC3R-NA-1035
20	12	68.8	MC3R_PYRO
20	13.9	71.8	rs13795178
21	0.4	0	rs13602346
21	1.5	14	rs14282175
21	2.6	18.2	rs14283139
21	3.4	25	rs15182893
21	5.2	46.1	rs16181928
21	6.6	61.5	rs14286166
22	2.9	0	rs15191004
22	3.4	2.7	rs13820393
23	0.2	0	rs14287506
23	1	7.9	rs15194003
23	1.8	16.8	rs14289029
23	5	47.4	rs15205573
23	5.6	49.7	rs15207546
24	0.5	0	rs13603923
24	1.8	3.1	rs16194400
24	2.3	7.4	RBL1526
24	2.9	11.4	rs14294624
24	na	15.4	ROS00302
24	5.1	39.9	LEI0069
24	6.1	51.5	rs14297486
25	na	0	rs16740409
25	0.8	17.4	RBL3432
25	1.9	53.1	RBL2937
26	0.4	0	rs14416247
26	na	2	SNP-152-100-21801-S-1
26	1.4	6.3	rs16200368
26	1.9	13.6	MCW0286
26	2.1	15.9	MCW0209
26	2.4	18.9	MCW0069
26	3.3	32.4	rs16202845
26	4.7	52.9	LEI0074
27	0.4	0	RBL280
27	1.2	0.9	rs15241802
27	1.5	4.7	rs14301476
27	2.1	9	rs13620274
27	na	33	MCW0076
27	3.4	38.6	rs14303776
27	3.9	47.6	ADL0376
27	na	57.4	MCW0292
27	4.2	59	rs16208538
28	0.7	0	rs15245588
28	2.1	33.7	rs14306112
28	2.4	37.7	rs16211629
28	2.5	41.5	MCW0227
28	4.1	51.7	rs16212707
LG1	na	0	MCW0188
LG1	na	1.9	ROS00306
LG1	31.4	3.3	RBL3889
LG1	38.3	5.1	RBL4985
LG1	42	22.9	RBL4854
LG1	na	23.5	rs15989709
LG1	0.9	25.5	RBL1494
Chr_UN	na	-	GCT004
Chr_UN	na	-	rs16748775
